name,suplente,area,party,image,term,source
H.D. ZULAY LEYSET RODRIGUEZ LU,"Sanjur Otero, César Diomedes",8-6,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/xHD_ZULAY_RODRIGUEZ_PWC.jpg.pagespeed.ic.juAFefrYCY.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. JORGE ALBERTO ROSAS,"Guerra Atencio, Armando",4-6,Partido Panameñista,http://www.asamblea.gob.pa/fotdip/xHD_JORGE_A_ROSAS_PWC.jpg.pagespeed.ic.Sq-Zn2guql.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. MIGUEL LORENZO SALAS OGLESBY,"Mitre Tejada, Juan Eloy",3-1,Partido Panameñista,http://www.asamblea.gob.pa/fotdip/xHD_MIGUEL_SALAS_PWC.jpg.pagespeed.ic.Y39ZorivfH.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. NORIEL SALERNO ESTEVEZ,"Castillo Bernal, Noriel Abdiel",2-4,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/xHD_NORIEL_SALERNO_PWC.jpg.pagespeed.ic.R9Z2_llFYV.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. CARLOS ELICEO SANTANA AIZPRUA,"Santana, Carlos A",9-1,Partido Panameñista,http://www.asamblea.gob.pa/fotdip/,2014,http://www.asamblea.gob.pa/diputados/
HD JUAN BAUTISTA SERRANO JIMENEZ,"Pérez Famanía, Jacobo",4-4,Partido Panameñista,"",2014,http://www.asamblea.gob.pa/diputados/
H.D. GABRIEL SOTO MARTINEZ,"Toribio Samaniego, Luis Adriano",8-1,Partido Panameñista,http://www.asamblea.gob.pa/fotdip/xHD_GABRIEL_SOTO_PWC.jpg.pagespeed.ic.I-nWATdm5R.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. ADOLFO T. VALDERRAMA RODRIGUEZ,"Tejada Pérez, Santiago Alexis",8-7,Partido Panameñista,"http://www.asamblea.gob.pa/fotdip/xH.D,P20ADOLFO,P20VALDERRAMA_PWC.jpg.pagespeed.ic.wNTWC5XG15.jpg",2014,http://www.asamblea.gob.pa/diputados/
H.D. HECTOR VALDES CARRASQUILLA,"Lee Vásquez, Víctor Manuel",8-6,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/xHD_HECTOR_VALDES_CARRASQUILLA_PWC.jpg.pagespeed.ic.e6PKX8vgHt.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. MARYLIN E. VALLARINO DE SELLHORN,"Sellhorn Carrillo, Agustín R.",8-1,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/xHD_MARYLIN_VALLARINO_PWC.jpg.pagespeed.ic.9GTjYBnW9g.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. JOSE LUIS VARELA RODRIGUEZ,"Arosemena Athanasiadis, Alberto Aristides",6-2,Partido Panameñista,"http://www.asamblea.gob.pa/fotdip/xH.D,P20JOSE_LUIS,P20VARELA_PWC.jpg.pagespeed.ic.hIjbBhoAv9.jpg",2014,http://www.asamblea.gob.pa/diputados/
H.D. FELIPE VARGAS VARGAS,"Paz, Eduardo",5-1,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/xHD_FELIPE_VARGAS_PWC.jpg.pagespeed.ic.3tRZMdVqKE.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. MARIELA DEL C. VEGA DE DONOSO,"Nelson Domínguez, Mario Eliecer",7-2,Partido Cambio Democrático,"http://www.asamblea.gob.pa/fotdip/xH.D,P20MARIELA_VEGA2_PWC.jpg.pagespeed.ic.dBdcOVNoy3.jpg",2014,http://www.asamblea.gob.pa/diputados/
H.D. AIBAN JESUS VELARDE,"Bolívar, Alex",10-1,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/xHD_AIBAN_VELARDE_PWC.jpg.pagespeed.ic.hLYUHHo51p.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. DIOGENES VERGARA,"Navarro De Gracia, Milciades Osvaldo",8-10,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/xHD_DIOGENES_VERGARA_PWC.jpg.pagespeed.ic.a49M9dXZ3X.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. EDWIN ALBERTO ZUÑIGA,"Gálvez Trujillo, Lucio",8-10,Partido Cambio Democrático,"http://www.asamblea.gob.pa/fotdip/xH.D,P20EDWIN_ZUNIGA_PWC.jpg.pagespeed.ic.R3ilpE1clp.jpg",2014,http://www.asamblea.gob.pa/diputados/
