name,party,party_id,term,source,image
Khalifa Bin Ahmed Al-Dosari,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Khalifah+Bin+Rashed+Al-Dowsary,http://www.shura.gov.sa/img/ar/cv/khlaufah_aldowsary.jpg
Dr.Khola bint Sami bin Saleem Al-Keraia,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Khola+bint+Sami+bin+Saleem+Al-Keraia,""
Dr.Latifa bint Othman bin Ibrahim Al-Shaalan,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Latifa+bint+Othman+bin+Ibrahim+Al-Shaalan,""
Dr.Lubna bint Abdulrahman bin Mohammed Al-Tayeb Al-Ansari,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Lubna+bint+Abdulrahman+bin+Mohammed+Al-Tayeb%20Al-Ansari,""
Dr.Mahmoud bin Mohammed bin Mustafa Al-Bedaiwi,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Mahmoud+bin+Mohammed+bin+Mustafa+Al-Bedaiwi,""
Dr.Maged Al-Mineef,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Maged+Al-+Mineef,http://www.shura.gov.sa/img/en/cv/Img204.jpg
Dr. Mansour Bin Saad Alkredees,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Mansour+bin+Saad+Al-kredes,http://www.shura.gov.sa/img/ar/cv/mansour_krydees.jpg
Dr.Mastourah bint Obaid bin Lafi Al-Husseini Al-Shammari,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.Mastourah+bint+Obaid+bin+Lafi+Al-Husseini+Al-Shammari,""
Dr. Mishal Bin Fahm Al-Sulami,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.+Mishaal+Bin+Mohammad+Al-Salmi,http://www.shura.gov.sa/img/ar/cv/meshal_alsolamy.jpg
Dr. Mowafiq Bin Fawaz Al-Ruweili,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.+Muwafeq+Bin+Halaf+Al-Ruwaili,http://www.shura.gov.sa/img/ar/cv/muwafik_alruwaili.jpg
Mohamed Ridha Nasrallah,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Mohammed+Ridha+Nasrallah,http://www.shura.gov.sa/img/ar/cv/Img209.jpg
Dr. Mohammad Bin Abdullah Al-Naji,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/shuraen/internet/cv,
Mohammed bin Dakhil bin Abedrabbo Al-Suhaimi Al-Mutairi,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Mohammed+bin+Dakhil+bin+Abedrabbo+Al-Suhaimi+Al-Mutairi,""
Eng. Mohammad Bin Hamed Nagadi,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Mohammad+Bin+Ahmed+Naqady,http://www.shura.gov.sa/img/ar/cv/mohammad_alnakadi.jpg
Dr. Mohammad Bin Mehdi Al-Khonaizi,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Dr.+Mohammad+Bin+Abdul-Muhsin+Al-Khneizy,http://www.shura.gov.sa/img/ar/cv/mohammad_khonary.jpg
Mohammed bin Murshid bin Rashid Al-Rehaily,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Mohammed+bin+Murshid+bin+Rashid+Al-Rehaily,""
Mohammed Saad AL- Saaddan,None,na,6,http://www.shura.gov.sa/wps/wcm/connect/ShuraEn/internet/CV/Mohammed+Saad+AL-+Saaddan,http://www.shura.gov.sa/img/ar/cv/mohammad_alsaadan.jpg
