name,wikiname,area,area_id,party,party_id,term,source
Muxtar Babayev,Muxtar Babayev,Sumqayıt üçüncü seçki dairəsi,43,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Hacı Salayev,Hacı Salayev,Sumqayıt-Abşeron seçki dairəsi,44,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Arif Alışanov,Arif Alışanov,Abşeron seçki dairəsi,45,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Azay Quliyev,Azay Quliyev,Şirvan seçki dairəsi,46,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Aydın Mirzəzadə,Aydın Mirzəzadə,Mingəçevir seçki dairəsi,47,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
İlham Məmmədov,İlham Məmmədov (millət vəkili),Yevlax seçki dairəsi,48,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Əli Hüseynov,Əli Hüseynli,Yevlax-Mingəçevir seçki dairəsi,49,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Zeynəb Xanlarova,Zeynəb Xanlarova,Qobustan-Xızı-Sumqayıt seçki dairəsi,50,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Azər Badamov,Azər Badamov,Qusar seçki dairəsi,51,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Vahid Əhmədov,Vahid Əhmədov,Quba seçki dairəsi,52,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Yevda Abramov,Yevda Abramov,Quba-Qusar seçki dairəsi,53,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Tahir Süleymanov,Tahir Süleymanov,Şabran-Siyəzən seçki dairəsi,54,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Arif Əşrəfov,Arif Əşrəfov,Xaçmaz şəhər seçki dairəsi,55,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
İlham Əliyev,İlham Əliyev (millət vəkili),Xaçmaz kənd seçki dairəsi,56,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Fərhad Qəribov,Fərhad Qəribov,Kürdəmir seçki dairəsi,57,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Rafael Hüseynov,Rafael Hüseynov,Hacıqabul-Kürdəmir seçki dairəsi,58,Vətəndaş Həmrəyliyi Partiyası,VHP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Əliağa Hüseynov,Əliağa Hüseynov,Salyan seçki dairəsi,59,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Fəzail Ağamalı,Fəzail Ağamalı,Salyan-Neftçala seçki dairəsi,60,Ana Vətən Partiyası,AVP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Arif Rəhimzadə,Arif Rəhimzadə,Neftçala seçki dairəsi,61,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Cəlal Əliyev,Cəlal Əliyev,Saatlı seçki dairəsi,62,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Ceyhun Osmanlı,Ceyhun Osmanlı,Sabirabad birinci seçki dairəsi,63,Independent,IND,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Rüstəm Xəlilov,Rüstəm Xəlilov,Sabirabad ikinci seçki dairəsi,64,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Əhliman Əmiraslanov,Əhliman Əmiraslanov,Saatlı-Sabirabad-Kürdəmir seçki dairəsi,65,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Xanhüseyn Kazımlı,Xanhüseyn Kazımlı,Biləsuvar seçki dairəsi,66,Azərbaycan Sosial Rifah Partiyası,ASRP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Malik Həsənov,Malik Həsənov,Cəlilabad şəhər seçki dairəsi,67,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Mirkazım Kazımov,Mirkazım Kazımov,Cəlilabad kənd seçki dairəsi,68,Yeni Azərbaycan Partiyası,YAP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
Fəzail İbrahimli,Fəzail İbrahimli,Cəlilabad-Masallı-Biləsuvar seçki dairəsi,69,Vətəndaş Həmrəyliyi Partiyası,VHP,4,https://az.wikipedia.org/wiki/Az%C9%99rbaycan_Respublikas%C4%B1_Milli_M%C9%99clisinin_deputatlar%C4%B1n%C4%B1n_siyah%C4%B1s%C4%B1_(IV_%C3%A7a%C4%9F%C4%B1r%C4%B1%C5%9F)
