id,name,birth_date,death_date,term,source,image,start_date,end_date,area,faction
10661,Eric DIARD,1965-06-21,"",12,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10661,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10661.jpg,2002-06-16,2007-06-25,Bouches-du-Rhône,Union pour la majorité présidentielle
10661,Eric DIARD,1965-06-21,"",13,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10661,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10661.jpg,2007-06-10,2012-06-19,Bouches-du-Rhône,Union pour un mouvement populaire
7614,Bruno LE ROUX,1965-05-02,"",11,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=7614,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/7614.jpg,1997-06-01,2002-06-18,Seine-St-Denis,Socialiste
7614,Bruno LE ROUX,1965-05-02,"",12,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=7614,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/7614.jpg,2002-06-16,2007-06-25,Seine-St-Denis,Socialiste
7614,Bruno LE ROUX,1965-05-02,"",13,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=7614,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/7614.jpg,2007-06-17,2012-06-19,Seine-St-Denis,"Socialiste, radical et citoyen et divers gauche"
7614,Bruno LE ROUX,1965-05-02,"",14,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=7614,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/7614.jpg,2012-06-20,"",Seine-St-Denis,"Socialiste, républicain et citoyen"
11024,Xavier BERTRAND,1965-03-21,"",12,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=11024,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/11024.jpg,2002-06-16,2004-04-30,Aisne,Union pour la majorité présidentielle
11024,Xavier BERTRAND,1965-03-21,"",13,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=11024,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/11024.jpg,2007-06-10,2012-06-19,Aisne,Union pour un Mouvement Populaire
11024,Xavier BERTRAND,1965-03-21,"",14,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=11024,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/11024.jpg,2012-06-20,"",Aisne,Union pour un mouvement populaire
10624,Gilles ARTIGUES,1965-01-04,"",12,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10624,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10624.jpg,2002-06-16,2007-06-25,Loire,Union pour la démocratie française
10737,Damien MESLOT,1964-11-11,"",12,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10737,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10737.jpg,2002-06-16,2007-06-25,Territoire-de-Belfort,Union pour la majorité présidentielle
10737,Damien MESLOT,1964-11-11,"",13,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10737,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10737.jpg,2007-06-17,2012-06-19,Territoire-de-Belfort,Union pour un mouvement populaire
10737,Damien MESLOT,1964-11-11,"",14,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10737,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10737.jpg,2012-06-20,"",Territoire-de-Belfort,Union pour un mouvement populaire
6991,Pascal TERRASSE,1964-10-26,"",11,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=6991,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/6991.jpg,1997-06-01,2002-06-18,Ardèche,Socialiste
6991,Pascal TERRASSE,1964-10-26,"",12,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=6991,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/6991.jpg,2002-06-16,2007-06-25,Ardèche,Socialiste
6991,Pascal TERRASSE,1964-10-26,"",13,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=6991,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/6991.jpg,2007-06-17,2012-06-19,Ardèche,"Socialiste, radical et citoyen"
6991,Pascal TERRASSE,1964-10-26,"",14,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=6991,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/6991.jpg,2012-06-20,"",Ardèche,"Socialiste, républicain et citoyen"
10622,Manuel AESCHLIMANN,1964-10-22,"",12,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10622,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10622.jpg,2002-06-16,2007-06-25,Hauts-de-Seine,Union pour la majorité présidentielle
10622,Manuel AESCHLIMANN,1964-10-22,"",13,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=10622,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/10622.jpg,2007-06-17,2012-06-19,Hauts-de-Seine,Union pour un Mouvement Populaire
5010,Franck MARLIN,1964-09-30,"",10,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=5010,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/5010.jpg,1995-12-10,1997-04-21,Essonne,Rassemblement pour la République
5010,Franck MARLIN,1964-09-30,"",11,http://www.assemblee-nationale.fr/sycomore/fiche.asp?num_dept=5010,http://www.assemblee-nationale.fr/sycomore/biographies/photo/jpg/5010.jpg,1997-06-01,2002-06-18,Essonne,Rassemblement pour la République
