name,wikipedia__en,state,party,term,holder,source
Jesús Morales Flores,Jesús Morales Flores,Puebla,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Adolfo Bonilla Gómez,Adolfo Bonilla Gómez,Zacatecas,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Carlos Augusto Morales López,Carlos Augusto Morales López,Federal District,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Omar Antonio Borboa,Omar Antonio Borboa,Jalisco,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
José Isidro Moreno Árcega,José Isidro Moreno Árcega,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Tomás Brito Lara,Tomás Brito Lara,Tabasco,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
José Pilar Moreno,José Pilar Moreno,Aguascalientes,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Benito Caballero Garza,Benito Caballero Garza,Nuevo León,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Israel Moreno Rivera,Israel Moreno Rivera,Federal District,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Marco Antonio Calzada,Marco Antonio Calzada,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Dulce María Muñíz,Dulce María Muñíz,Hidalgo,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Felipe Arturo Camarena,Felipe Arturo Camarena,Guanajuato,PVEM,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
José Luis Muñoz Soria,José Luis Muñoz Soria,Federal District,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Lisandro Campos Córdova,Lisandro Campos Córdova,Puebla,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Luis Alfredo Murguía,Luis Alfredo Murguía,Chihuahua,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Alejandro Carbajal González,Alejandro Carbajal González,Federal District,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Víctor Reymundo Nájera,Víctor Reymundo Nájera,Morelos,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Juan Manuel Carbajal Hernández,Juan Manuel Carbajal Hernández,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Héctor Narcia Álvarez,Héctor Narcia Álvarez,Chiapas,PVEM,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Enrique Cárdenas,Enrique Cárdenas,Tamaulipas,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
José Everardo Nava,José Everardo Nava,San Luis Potosí,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Gabriel de Jesús Cárdenas,Gabriel de Jesús Cárdenas,Veracruz,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Joaquina Navarrete Contreras,Joaquina Navarrete Contreras,Mexico,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Purificación Carpinteyro Calderón,Purificación Carpinteyro Calderón,Federal District,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
María Concepción Navarrete,María Concepción Navarrete,Guanajuato,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Angelina Carreño Mijares,Angelina Carreño Mijares,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
César Reynaldo Navarro,César Reynaldo Navarro,Jalisco,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Genaro Carreño Muro,Genaro Carreño Muro,Guanajuato,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Ossiel Niaves López,Ossiel Niaves López,Mexico,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Verónica Carreón Cervantes,Verónica Carreón Cervantes,Veracruz,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Homero Niño de Rivera,Homero Niño de Rivera,Nuevo León,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Mario Miguel Carrillo Huerta,Mario Miguel Carrillo Huerta,Federal District,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Ernesto Núñez Aguilar,Ernesto Núñez Aguilar,Michoacán,PVEM,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Minerva Castillo Rodríguez,Minerva Castillo Rodríguez,Chihuahua,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Gloria Elizabeth Núñez Sánchez,Gloria Elizabeth Núñez Sánchez,Nayarit,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Liliana Castillo Terreros,Liliana Castillo Terreros,Puebla,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Williams Ochoa,Williams Ochoa,Chiapas,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Benjamín Castillo Valdez,Benjamín Castillo Valdez,Baja California,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
José Luis Oliveros Usabiaga,José Luis Oliveros Usabiaga,Guanajuato,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Sergio Armando Chávez Davalos,Sergio Armando Chávez Davalos,Jalisco,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Luis Olvera Correa,Luis Olvera Correa,Michoacán,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Armando Contreras Ceballos,Armando Contreras Ceballos,Michoacán,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Maria del Carmen Ordaz,Maria del Carmen Ordaz,Yucatán,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Luis Armando Córdova Díaz,Luis Armando Córdova Díaz,Jalisco,PRI,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Javier Orihuela García,Javier Orihuela García,Morelos,PRD,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Alberto Coronado Quintanilla,Alberto Coronado Quintanilla,Nuevo León,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
Marcelina Orta Coronado,Marcelina Orta Coronado,Tamaulipas,PAN,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
José Francisco Coronato Rodríguez,José Francisco Coronato Rodríguez,Morelos,MC,62,1,https://en.wikipedia.org/wiki/LXII_Legislature_of_the_Mexican_Congress
