name,wikipedia,constituency,party,term,start_date,end_date,source
Eygló Harðardóttir,http://en.wikipedia.org/wiki/Eygl%C3%B3_Har%C3%B0ard%C3%B3ttir,South Constituency,Progressive Party,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Gunnar Sveinsson,http://en.wikipedia.org/wiki/Gunnar_Bragi_Sveinsson,Northwest Constituency,Progressive Party,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Guðbjartur Hannesson,http://en.wikipedia.org/wiki/Gu%C3%B0bjartur_Hannesson,Northwest Constituency,Social Democratic Alliance,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Guðfríður Grétarsdóttir,http://en.wikipedia.org/wiki/Gu%C3%B0fr%C3%AD%C3%B0ur_Lilja_Gr%C3%A9tarsd%C3%B3ttir,Southwest Constituency,Left-Green Movement,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Guðlaugur Þórðarson,http://en.wikipedia.org/wiki/Gu%C3%B0laugur_%C3%9E%C3%B3r_%C3%9E%C3%B3r%C3%B0arson,Reykjavik Constituency South,Independence Party,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Guðmundur Steingrímsson,http://en.wikipedia.org/wiki/Gu%C3%B0mundur_Steingr%C3%ADmsson,Northwest Constituency,Bright Future,2009–2013,2011-08-22,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Helgi Hjörvar,http://en.wikipedia.org/wiki/Helgi_Hj%C3%B6rvar,Reykjavik Constituency North,Social Democratic Alliance,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Höskuldur Þórhallsson,http://en.wikipedia.org/wiki/H%C3%B6skuldur_%C3%9E%C3%B3rhallsson,Northeast Constituency,Progressive Party,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Illugi Gunnarsson,http://en.wikipedia.org/wiki/Illugi_Gunnarsson,Reykjavik Constituency North,Independence Party,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Jóhanna Sigurðardóttir,http://en.wikipedia.org/wiki/J%C3%B3hanna_Sigur%C3%B0ard%C3%B3ttir,Reykjavik Constituency North,Social Democratic Alliance,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Jón Bjarnason,http://en.wikipedia.org/wiki/J%C3%B3n_Bjarnason,Northwest Constituency,Independent[6],2009–2013,2013-01-24,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Jón Gunnarsson,http://en.wikipedia.org/wiki/J%C3%B3n_Gunnarsson,Southwest Constituency,Independence Party,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Jónína Guðmundsdóttir,http://en.wikipedia.org/wiki/J%C3%B3n%C3%ADna_R%C3%B3s_Gu%C3%B0mundsd%C3%B3ttir,Northeast Constituency,Social Democratic Alliance,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Katrín Jakobsdóttir,http://en.wikipedia.org/wiki/Katr%C3%ADn_Jakobsd%C3%B3ttir,Reykjavik Constituency North,Left-Green Movement,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Katrín Júlíusdóttir,http://en.wikipedia.org/wiki/Katr%C3%ADn_J%C3%BAl%C3%ADusd%C3%B3ttir,Southwest Constituency,Social Democratic Alliance,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Kristján Júlíusson,http://en.wikipedia.org/wiki/Kristj%C3%A1n_%C3%9E%C3%B3r_J%C3%BAl%C3%ADusson,Northeast Constituency,Independence Party,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Kristján Möller,http://en.wikipedia.org/wiki/Kristj%C3%A1n_L._M%C3%B6ller,Northeast Constituency,Social Democratic Alliance,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Lilja Magnúsdóttir,http://en.wikipedia.org/wiki/Lilja_Rafney_Magn%C3%BAsd%C3%B3ttir,Northwest Constituency,Left-Green Movement,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Lilja Mósesdóttir,http://en.wikipedia.org/wiki/Lilja_M%C3%B3sesd%C3%B3ttir,Reykjavik Constituency South,Solidarity,2009–2013,2011-03-21,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Magnús Schram,http://en.wikipedia.org/wiki/Magn%C3%BAs_Orri_Schram,Southwest Constituency,Social Democratic Alliance,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Margrét Tryggvadóttir,http://en.wikipedia.org/wiki/Margr%C3%A9t_Tryggvad%C3%B3ttir,South Constituency,Citizens' Movement,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Oddný Harðardóttir,http://en.wikipedia.org/wiki/Oddn%C3%BD_G._Har%C3%B0ard%C3%B3ttir,South Constituency,Social Democratic Alliance,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Pétur Blöndal,http://en.wikipedia.org/wiki/P%C3%A9tur_H._Bl%C3%B6ndal,Reykjavik Constituency North,Independence Party,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Ragnheiður Árnadóttir,http://en.wikipedia.org/wiki/Ragnhei%C3%B0ur_El%C3%ADn_%C3%81rnad%C3%B3ttir,South Constituency,Independence Party,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Ragnheiður Ríkharðsdóttir,http://en.wikipedia.org/wiki/Ragnhei%C3%B0ur_R%C3%ADkhar%C3%B0sd%C3%B3ttir,Southwest Constituency,Independence Party,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Róbert Marshall,http://en.wikipedia.org/wiki/R%C3%B3bert_Marshall,South Constituency,Bright Future[4][5],2009–2013,2012-10-12,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Sigmundur Gunnlaugsson,http://en.wikipedia.org/wiki/Sigmundur_Dav%C3%AD%C3%B0_Gunnlaugsson,Reykjavik Constituency North,Progressive Party,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Sigmundur Rúnarsson,http://en.wikipedia.org/wiki/Sigmundur_Ernir_R%C3%BAnarsson,Northeast Constituency,Social Democratic Alliance,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Sigríður Ingadóttir,http://en.wikipedia.org/wiki/Sigr%C3%AD%C3%B0ur_Ingibj%C3%B6rg_Ingad%C3%B3ttir,Reykjavik Constituency South,Social Democratic Alliance,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Sigurður Jóhannsson,http://en.wikipedia.org/wiki/Sigur%C3%B0ur_Ingi_J%C3%B3hannsson,South Constituency,Progressive Party,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Siv Friðleifsdóttir,http://en.wikipedia.org/wiki/Siv_Fri%C3%B0leifsd%C3%B3ttir,Southwest Constituency,Progressive Party,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Skúli Helgason,http://en.wikipedia.org/wiki/Sk%C3%BAli_Helgason,Reykjavik Constituency South,Social Democratic Alliance,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Steingrímur Sigfússon,http://en.wikipedia.org/wiki/Steingr%C3%ADmur_J._Sigf%C3%BAsson,Northeast Constituency,Left-Green Movement,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Steinunn Óskarsdóttir,http://en.wikipedia.org/wiki/Steinunn_Vald%C3%ADs_%C3%93skarsd%C3%B3ttir,Reykjavik Constituency North,Social Democratic Alliance,2009–2013,,2010,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Mörður Árnason,http://en.wikipedia.org/wiki/M%C3%B6r%C3%B0ur_%C3%81rnason,Reykjavik Constituency North,Social Democratic Alliance,2009–2013,2010,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Svandís Svavarsdóttir,http://en.wikipedia.org/wiki/Svand%C3%ADs_Svavarsd%C3%B3ttir,Reykjavik Constituency South,Left-Green Movement,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Tryggvi Herbertsson,http://en.wikipedia.org/wiki/Tryggvi_%C3%9E%C3%B3r_Herbertsson,Northeast Constituency,Independence Party,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Unnur Konráðsdóttir,http://en.wikipedia.org/wiki/Unnur_Br%C3%A1_Konr%C3%A1%C3%B0sd%C3%B3ttir,South Constituency,Independence Party,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Valgerður Bjarnadóttir,http://en.wikipedia.org/wiki/Valger%C3%B0ur_Bjarnad%C3%B3ttir,Reykjavik Constituency North,Social Democratic Alliance,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Vigdís Hauksdóttir,http://en.wikipedia.org/wiki/Vigd%C3%ADs_Hauksd%C3%B3ttir,Reykjavik Constituency South,Progressive Party,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Álfheiður Ingadóttir,http://en.wikipedia.org/wiki/%C3%81lfhei%C3%B0ur_Ingad%C3%B3ttir,Reykjavik Constituency North,Left-Green Movement,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Árni Árnason,http://en.wikipedia.org/wiki/%C3%81rni_P%C3%A1ll_%C3%81rnason,Southwest Constituency,Social Democratic Alliance,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Árni Johnsen,http://en.wikipedia.org/wiki/%C3%81rni_Johnsen,South Constituency,Independence Party,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Árni Sigurðsson,http://en.wikipedia.org/wiki/%C3%81rni_%C3%9E%C3%B3r_Sigur%C3%B0sson,Reykjavik Constituency North,Left-Green Movement,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Ásbjörn Óttarsson,http://en.wikipedia.org/wiki/%C3%81sbj%C3%B6rn_%C3%93ttarsson,Northwest Constituency,Independence Party,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Ásmundur Daðason,http://en.wikipedia.org/wiki/%C3%81smundur_Einar_Da%C3%B0ason,Northwest Constituency,Progressive Party,2009–2013,2011-06-01,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Ásta Jóhannesdóttir,http://en.wikipedia.org/wiki/%C3%81sta_Ragnhei%C3%B0ur_J%C3%B3hannesd%C3%B3ttir,Reykjavik Constituency South,Social Democratic Alliance,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Ólína Þorvarðardóttir,http://en.wikipedia.org/wiki/%C3%93l%C3%ADna_%C3%9Eorvar%C3%B0ard%C3%B3ttir,Northwest Constituency,Social Democratic Alliance,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Ólöf Nordal,http://en.wikipedia.org/wiki/%C3%93l%C3%B6f_Nordal,Reykjavik Constituency South,Independence Party,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Ögmundur Jónasson,http://en.wikipedia.org/wiki/%C3%96gmundur_J%C3%B3nasson,Southwest Constituency,Left-Green Movement,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Össur Skarphéðinsson,http://en.wikipedia.org/wiki/%C3%96ssur_Skarph%C3%A9%C3%B0insson,Reykjavik Constituency South,Social Democratic Alliance,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Þorgerður Gunnarsdóttir,http://en.wikipedia.org/wiki/%C3%9Eorger%C3%B0ur_Katr%C3%ADn_Gunnarsd%C3%B3ttir,Reykjavik Constituency South,Independence Party,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Þráinn Bertelsson,http://en.wikipedia.org/wiki/%C3%9Er%C3%A1inn_Bertelsson,Reykjavik Constituency North,Left-Green Movement,2009–2013,2009-08-14,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Þuríður Backman,http://en.wikipedia.org/wiki/%C3%9Eur%C3%AD%C3%B0ur_Backman,Northeast Constituency,Left-Green Movement,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Þór Saari,http://en.wikipedia.org/wiki/%C3%9E%C3%B3r_Saari,Southwest Constituency,Citizens' Movement,2009–2013,,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Þórunn Sveinbjarnardóttir,http://en.wikipedia.org/wiki/%C3%9E%C3%B3runn_Sveinbjarnard%C3%B3ttir,Southwest Constituency,Social Democratic Alliance,2009–2013,,2011,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
Lúðvík Geirsson,http://en.wikipedia.org/wiki/L%C3%BA%C3%B0v%C3%ADk_Geirsson,Southwest Constituency,Social Democratic Alliance,2009–2013,2011,,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_2009%E2%80%9313"
