id,name,term,source,gender,birth_place,birth_date,party,faction,religion
362,احسان ثعبان عبدعلي كاظم,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=362,male,نجف,1966,حركة الوفاء العراقية,ائتلاف دولة القانون,مسلم
363,غيداء سعيد عبدالمجيد عبدالحسين,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=363,female,ديالى,1974,للعراق متحدون,متحدون للاصلاح,مسلم
364,ضياء محي خلف الدوري,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=364,male,صلاح الدين,1962,كرامة,كرامة,مسلم
365,كامل نواف عبود حبيب,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=365,male,بغداد,1965,الوطنية,ائتلاف الوطنية,مسلم
366,حيدر ستار فرحان حسين,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=366,male,ميسان,1978,حزب الدعوة الاسلامية,ائتلاف دولة القانون,مسلم
367,عادل عدنان حسن سلمان,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=367,male,بغداد,1963,الجبهه العراقيه للحوار الوطني,ائتلاف العربية,مسلم
359,حمدان محمد شبلي محسن,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=359,male,بغداد,1965,منظمة بدر,ائتلاف دولة القانون,مسلم
358,ميثاق ابراهيم فيصل,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=358,female,البصرة,1973,منظمة بدر,ائتلاف دولة القانون,مسلم
346,مشعان ركاض ضامن عبدالله,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=346,male,صلاح الدين,1957,ائتلاف الجماهير الوطنية,ائتلاف العربية,مسلم
347,محمد حمزة جارالله محمد,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=347,male,بغداد,1965,كتلة مستقلون,ائتلاف دولة القانون,مسلم
348,ليلى كاظم جاسم صالح,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=348,female,بغداد,1957,المجلس الاعلى الاسلامي العراقي,ائتلاف المواطن,مسلم
350,عادل رشاش شناوه وادي,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=350,male,البصرة,1961,منظمة بدر,ائتلاف دولة القانون,مسلم
351,شوان حويز فريق نامق,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=351,male,كركوك,1968,يةكيَتى نيشتمانى كوردستان \\\\ الاتحاد الوطني الكوردستاني,يه كيتي نيشتماني كوردستان \\\\\\\\الاتحاد الوطني الكوردستاني,مسلم
352,فرح باسل شريف عزيز,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=352,female,نينوى,1977,التجمع المدني للإصلاح (عمل),متحدون للاصلاح,مسلم
356,ميزر حمادي سلطان يوسف,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=356,male,نينوى,1975,للعراق متحدون,متحدون للاصلاح,مسلم
357,خديجة جابر محمد جواد,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=357,female,ذي قار,1960,كتلة مستقلون,ائتلاف دولة القانون,مسلم
368,رسول صباح حسن عبيد,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=368,male,بغداد,1982,كتلة الاحرار,ائتلاف الاحرار,مسلم
279,جاسم محمد جعفر كاظم,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=279,male,صلاح الدين,1958,حزب الدعوة الاسلامية,ائتلاف دولة القانون,مسلم
292,فرھاد قادر كريم,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=292,male,السليمانية,1977,يةكيَتى نيشتمانى كوردستان \\\\ الاتحاد الوطني الكوردستاني,يه كيتي نيشتماني كوردستان \\\\\\\\الاتحاد الوطني الكوردستاني,مسلم
293,بختيار جبار علي,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=293,male,السليمانية,1980,يةكيَتى نيشتمانى كوردستان \\\\ الاتحاد الوطني الكوردستاني,يه كيتي نيشتماني كوردستان \\\\\\\\الاتحاد الوطني الكوردستاني,مسلم
294,ريزان دلير مصطفى,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=294,female,السليمانية,1973,يةكيَتى نيشتمانى كوردستان \\\\ الاتحاد الوطني الكوردستاني,يه كيتي نيشتماني كوردستان \\\\\\\\الاتحاد الوطني الكوردستاني,مسلم
295,ره نكين عبدلله محمد,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=295,female,السليمانية,1981,يةكيَتى نيشتمانى كوردستان \\\\ الاتحاد الوطني الكوردستاني,يه كيتي نيشتماني كوردستان \\\\\\\\الاتحاد الوطني الكوردستاني,مسلم
296,اشواق نجم الدين عباس محمد,2014,http://www.miqpm.com/new/Memberships_Details.php?ID=296,female,السليمانية,1972,الحزب الديموقراطي الكوردستاني,الحزب الديموقراطي الكوردستاني,مسلم
