id,name,term,source,image,birth_date,birth_place,nationality,area,group
14032,Тожиев Козимжон Ўктамович,5,http://www.parliament.gov.uz/uz/structure/deputy/14032,"",1984-08-04,"Навоий вилояти, Навбаҳор тумани",ўзбек,34-Навоий сайлов округи,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
2123,Тошқулов Абдуқодир Ҳамидович,5,http://www.parliament.gov.uz/uz/structure/deputy/2123,http://www.parliament.gov.uz/upload/iblock/44e/70.jpg,1976-08-29,"Сурхондарё вилояти, Бойсун тумани",тожик,70-Термиз,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14001,Туляков Элдор Собиржонович,5,http://www.parliament.gov.uz/uz/structure/deputy/14001,"",1986-07-09,"Тошкент вилояти, Қибрай тумани",ўзбек,86-Чирчиқ сайлов округи,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
14407,Тумишова Аксавли Молдагалиевна,5,http://www.parliament.gov.uz/uz/structure/deputy/14407,"",1965-12-24,"Бухоро вилояти, Бухоро тумани",ўзбек,36-Зарафшон сайлов округи,Ўзбекистон Халқ демократик партиясининг фракцияси
14201,Турғунов Собитхон Тошпўлатович,5,http://www.parliament.gov.uz/uz/structure/deputy/14201,"",1965-03-19,"Наманган вилояти, Чортоқ тумани",ўзбек,42-Косонсой сайлов округи,Ўзбекистон Халқ демократик партиясининг фракцияси
13949,Турдиев Содиқжон,5,http://www.parliament.gov.uz/uz/structure/deputy/13949,http://www.parliament.gov.uz/upload/iblock/d83/zdsycswotmndpssv%20rumtquyhtl.jpg,1952-12-03,"Андижон вилояти, Шаҳрихон тумани",ўзбек,12-Шаҳрихон,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
2173,Турсунбоев Шуҳрат Мирайимович,5,http://www.parliament.gov.uz/uz/structure/deputy/2173,http://www.parliament.gov.uz/upload/iblock/b43/_mg_4383.jpg,1970-06-09,Тошкент вилояти,ўзбек,83-Паркент,Ўзбекистон Халқ демократик партиясининг фракцияси
14002,Турсунов Муродулла Холсаидович,5,http://www.parliament.gov.uz/uz/structure/deputy/14002,"",1979-09-13,"Сурхондарё вилояти, Бойсун тумани",ўзбек,72-Қумқўрғон сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14040,Турсунов Ўткир Абдугаффорович,5,http://www.parliament.gov.uz/uz/structure/deputy/14040,"",1983-03-02,"Навоий вилояти, Хатирчи тумани",ўзбек,37-Хатирчи сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14398,Тухтабаев Шухрат Абдулмахмудович,5,http://www.parliament.gov.uz/uz/structure/deputy/14398,"",1979-09-03,"Наманган вилояти, Наманган шаҳри",ўзбек,41-Тошбулоқ сайлов округи,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
14018,Тухташев Шерзод Азимович,5,http://www.parliament.gov.uz/uz/structure/deputy/14018,"",1979-02-06,"Самарқанд вилояти, Самарқанд шаҳри",ўзбек,54-Каттақўрғон сайлов округи,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
568,Тўхтабоев Абдурашид Турсунович,5,http://www.parliament.gov.uz/uz/structure/deputy/568,http://www.parliament.gov.uz/upload/iblock/b9f/_mg_4564.jpg,1953-09-04,"Андижон вилояти, Қўрғонтепа тумани",ўзбек,17-Қўрғонтепа,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
2186,Тўхтаева Муҳаббат Абдуллаевна,5,http://www.parliament.gov.uz/uz/structure/deputy/2186,http://www.parliament.gov.uz/upload/iblock/a50/_mg_4434.jpg,1963-01-31,Тошкент шаҳри,ўзбек,80-Бўстонлиқ,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
13991,Убайдуллаев Мирзохид Муродилович,5,http://www.parliament.gov.uz/uz/structure/deputy/13991,"",1976-12-14,"Фарғона вилояти, Фарғона тумани",ўзбек,104-Қувасой сайлов округи,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
13952,Умаров Ёқуб Дониёрович,5,http://www.parliament.gov.uz/uz/structure/deputy/13952,http://www.parliament.gov.uz/upload/iblock/2ff/zyysmedtmict%20tgqsxzkz.jpg,1972-01-06,"Самарқанд вилояти, Пайариқ тумани",ўзбек,59-Пайариқ,Ўзбекистон Халқ демократик партиясининг фракцияси
14202,Умаров Нариман Маджитович,5,http://www.parliament.gov.uz/uz/structure/deputy/14202,"",1952-08-01,Тошкент шаҳри,ўзбек,76-Узун сайлов округи,Ўзбекистон «Адолат» социал-демократик партиясининг фракцияси
14003,Умаров Фарход Бакоевич,5,http://www.parliament.gov.uz/uz/structure/deputy/14003,"","","","",24-Ибн Сино сайлов округи,Ўзбекистон Халқ демократик партиясининг фракцияси
14164,Умирзаков Акмалжон Ахаталиевич,5,http://www.parliament.gov.uz/uz/structure/deputy/14164,"",1981-10-08,"Фарғона вилояти, Риштон тумани",ўзбек,95-Риштон сайлов округи,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
14004,Умиров Абдуғани Эргашевич,5,http://www.parliament.gov.uz/uz/structure/deputy/14004,"",1964-01-27,"Қашқадарё вилояти, Деҳқонобод тумани",ўзбек,123-Насаф сайлов округи,Ўзбекистон «Адолат» социал-демократик партиясининг фракцияси
14020,Уринбоев Аваз Рустамович,5,http://www.parliament.gov.uz/uz/structure/deputy/14020,"",1978-11-06,"Фарғона вилояти, Олтиариқ тумани",ўзбек,103-Бувайда сайлов округи,Ўзбекистон Халқ демократик партиясининг фракцияси
14019,Уролова Дилфуза Джумановна,5,http://www.parliament.gov.uz/uz/structure/deputy/14019,"",1968-02-08,"Сирдарё вилояти, Мирзаобод тумани",ўзбек,66-Янгиер сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
2151,Файзиева Дилором Ҳуснитдиновна,5,http://www.parliament.gov.uz/uz/structure/deputy/2151,http://www.parliament.gov.uz/upload/iblock/b1e/_mg_4310.jpg,1962-07-13,Тошкент шаҳри,ўзбек,130-Бодомзор сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
2174,Хаитов Ўрол,5,http://www.parliament.gov.uz/uz/structure/deputy/2174,http://www.parliament.gov.uz/upload/iblock/13a/_mg_4296.jpg,1956-01-07,"Қашқадарё вилояти, Қамаши тумани",ўзбек,114-Қамаши,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
14041,Хакимов Рахим Расулжонович,5,http://www.parliament.gov.uz/uz/structure/deputy/14041,"",1983-01-02,"Наманган вилояти, Чуст тумани",ўзбек,48-Чуст сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14392,Халбутаев Эркин Эргашевич,5,http://www.parliament.gov.uz/uz/structure/deputy/14392,"",1977-06-03,"Жиззах вилояти, Ғаллаорол тумани",ўзбек,29-Жиззах сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14021,Халилова Наргиз Алихановна,5,http://www.parliament.gov.uz/uz/structure/deputy/14021,"",1960-08-11,"Наманган вилояти,Наманган шаҳри",ўзбек,39-Дўстлик сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14042,Хамраев Алишер Шоназарович,5,http://www.parliament.gov.uz/uz/structure/deputy/14042,"",1968-09-30,"Самарқанд вилояти, Самарқанд тумани",ўзбек,61-Тайлоқ сайлов округи,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
14389,Хамракулов Абдуллажон Кадирович,5,http://www.parliament.gov.uz/uz/structure/deputy/14389,"",1973-04-14,"Андижон вилояти, Асака тумани",ўзбек,14-Марҳамат сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14408,Ханиязов Зафар Базарбаевич,5,http://www.parliament.gov.uz/uz/structure/deputy/14408,"",1980-07-03,"Қорақалпоғистон Республикаси, Беруний тумани",қорақалпоқ,7-Орол сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14025,Ходжаева Мавлудахон Исламовна,5,http://www.parliament.gov.uz/uz/structure/deputy/14025,"",1962-10-04,"Фарғона вилояти, Ўзбекистон тумани",ўзбек,90-Бешариқ сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14390,Ходжиев Иброхим Икрамович,5,http://www.parliament.gov.uz/uz/structure/deputy/14390,"",1989-08-15,"Наманган вилояти, Наманган шаҳри",ўзбек,46-Учқўрғон сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
2194,Холбоев Фахриддин Раҳмонқулович,5,http://www.parliament.gov.uz/uz/structure/deputy/2194,http://www.parliament.gov.uz/upload/iblock/188/_mg_4334.jpg,1966-08-29,"Бухоро вилояти, Қоракўл тумани",ўзбек,Бухоро вилояти,Ўзбекистон экологик ҳаракати депутатлар гуруҳи
14172,Холияров Ёрмамат Бердикулович,5,http://www.parliament.gov.uz/uz/structure/deputy/14172,"",1960-11-18,"Сурхондарё вилояти, Шурчи тумани",ўзбек,73-Шўрчи сайлов округи,Ўзбекистон «Адолат» социал-демократик партиясининг фракцияси
14034,Холов Уткир Шомуродович,5,http://www.parliament.gov.uz/uz/structure/deputy/14034,"",1970-02-21,"Бухоро вилояти, Вобкент тумани",ўзбек,23-Шоҳруд сайлов округи,Ўзбекистон «Адолат» социал-демократик партиясининг фракцияси
14402,Худайбергенов Салауатдин,5,http://www.parliament.gov.uz/uz/structure/deputy/14402,"",1973-05-10,Тошкент шаҳри,қорақалпоқ,5-Хўжайли сайлов округи,Ўзбекистон Халқ демократик партиясининг фракцияси
14399,Худоярова Гульшана Бердиназаровна,5,http://www.parliament.gov.uz/uz/structure/deputy/14399,"",1972-07-22,"Қашқадарё вилояти, Қарши шаҳри",ўзбек,116-Косон сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14022,Хусанова Мухтабар Акбаровна,5,http://www.parliament.gov.uz/uz/structure/deputy/14022,"",1983-02-19,Тошкент шаҳри,ўзбек,124-Оқтепа сайлов округи,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
14409,Хушвақтов Ислам Норташович,5,http://www.parliament.gov.uz/uz/structure/deputy/14409,"",1967-02-27,"Қашқадарё вилояти, Ғузор тумани",ўзбек,Экоҳаракат депутатлар гуруҳи,Ўзбекистон экологик ҳаракати депутатлар гуруҳи
14033,Ҳажиев Иноят Садуллаевич,5,http://www.parliament.gov.uz/uz/structure/deputy/14033,"",1974-02-04,"Хоразм вилояти, Урганч тумани",ўзбек,107-Гурлан сайлов округи,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
13955,Шадманов Алишер Каюмович,5,http://www.parliament.gov.uz/uz/structure/deputy/13955,http://www.parliament.gov.uz/upload/iblock/baf/bbtxnqpqsnwmnuof%20qkjkhhwujyan.jpg,1962-05-10,Тошкент шаҳри,ўзбек,18-Избоскан,Ўзбекистон «Адолат» социал-демократик партиясининг фракцияси
14400,Шарафутдинов Шухрат Хурсанович,5,http://www.parliament.gov.uz/uz/structure/deputy/14400,"",1965-02-05,"Фарғона вилояти, Боғдод тумани",ўзбек,91-Данғара сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14391,Ширинов Джаҳонгир Джабборович,5,http://www.parliament.gov.uz/uz/structure/deputy/14391,"",1982-04-10,"Бухоро вилояти, Бухоро шаҳри",ўзбек,25-Варахшо сайлов округи,Ўзбекистон «Миллий тикланиш» демократик партиясининг фракцияси
580,Шодмонов Адҳам Ҳурсанбоевич,5,http://www.parliament.gov.uz/uz/structure/deputy/580,http://www.parliament.gov.uz/upload/iblock/f8f/shodmonov.jpg,1965-11-29,Тошкент шаҳри,ўзбек,51-Сўғдиёна,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14005,Шукуров Элбек Хабибуллаевич,5,http://www.parliament.gov.uz/uz/structure/deputy/14005,"",1988-03-18,Тошкент шаҳри,ўзбек,135-Шайхонтоҳур сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14035,Эгамов Айбек Нормухаммедович,5,http://www.parliament.gov.uz/uz/structure/deputy/14035,"",1973-07-15,"Андижон вилояти, Избоскан тумани",ўзбек,13-Асака сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
2135,Эргашев Қаҳрамон Пайзуллаевич,5,http://www.parliament.gov.uz/uz/structure/deputy/2135,http://www.parliament.gov.uz/upload/iblock/41a/_mg_4463.jpg,1964-10-01,Китоб тумани,ўзбек,118-Китоб,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14181,Эрназаров Комилжон Юлдашалиевич,5,http://www.parliament.gov.uz/uz/structure/deputy/14181,"",1984-02-20,"Сирдарё вилояти, Сирдарё тумани",ўзбек,65-Сайхун сайлов округи,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14165,Эшматова Феруза Фарходовна,5,http://www.parliament.gov.uz/uz/structure/deputy/14165,"",1979-02-09,"Қашқадарё вилояти, Яккабоғ тумани",ўзбек,120-Шаҳрисабз сайлов округи,Ўзбекистон Халқ демократик партиясининг фракцияси
13954,Эшназаров Тулкин Шералиевич,5,http://www.parliament.gov.uz/uz/structure/deputy/13954,http://www.parliament.gov.uz/upload/iblock/32a/jycespnlkizneayzqv%20gresxowfauvo.jpg,1963-01-06,"Самарқанд вилояти, Каттақўрғон шаҳри",ўзбек,58-Пастдарғом,Тадбиркорлар ва ишбилармонлар ҳаракати – Ўзбекистон Либерал-Демократик партиясининг фракцияси
14024,Эшонкулов Бунёджон Махамадалиевич,5,http://www.parliament.gov.uz/uz/structure/deputy/14024,"",1982-04-17,"Фарғона вилояти, Фурқат тумани",ўзбек,98-Марғилон сайлов округи,Ўзбекистон Халқ демократик партиясининг фракцияси
587,Юнусова Алия Туйғуновна,5,http://www.parliament.gov.uz/uz/structure/deputy/587,http://www.parliament.gov.uz/upload/iblock/2a1/sc35210051109520.jpg,1961-09-17,Тошкент шаҳри,ўзбек,77-Ангрен сайлов округи,Ўзбекистон Халқ демократик партиясининг фракцияси
14182,Якубов Шухрат Умматалиевич,5,http://www.parliament.gov.uz/uz/structure/deputy/14182,"",1981-05-04,"Наманган вилояти, Чортоқ тумани",ўзбек,40-Сардоба сайлов округи,Ўзбекистон «Адолат» социал-демократик партиясининг фракцияси
