name,state,constituency,wikipedia,party_id,party,term,source,area,coalition,coalition_id
Wong Ho Leng,Sarawak,Sibu,http://en.wikipedia.org/wiki/Wong_Ho_Leng,DAP,Democratic Action Party,12,"","Sibu, Sarawak",Pakatan Rakyat,PR
Leo Michael Toyad,Sarawak,Mukah,http://en.wikipedia.org/wiki/Leo_Michael_Toyad,PBB,Parti Pesaka Bumiputera Bersatu,12,"","Mukah, Sarawak",Barisan Nasional,BN
Joseph Entulu Belaun,Sarawak,Selangau,http://en.wikipedia.org/wiki/Joseph_Entulu_Belaun,PRS,Parti Rakyat Sarawak,12,"","Selangau, Sarawak",Barisan Nasional,BN
Alexander Nanta Linggi,Sarawak,Kapit,http://en.wikipedia.org/wiki/Alexander_Nanta_Linggi,PBB,Parti Pesaka Bumiputera Bersatu,12,"","Kapit, Sarawak",Barisan Nasional,BN
Billy Abit Joo,Sarawak,Hulu Rajang,http://en.wikipedia.org/wiki/Billy_Abit_Joo,PRS,Parti Rakyat Sarawak,12,"","Hulu Rajang, Sarawak",Barisan Nasional,BN
Tiong King Sing,Sarawak,Bintulu,http://en.wikipedia.org/wiki/Tiong_King_Sing,SPDP,Sarawak Progressive Democratic Party,12,"","Bintulu, Sarawak",Barisan Nasional,BN
Ahmad Lai Bujang,Sarawak,Sibuti,http://en.wikipedia.org/wiki/Ahmad_Lai_Bujang,PBB,Parti Pesaka Bumiputera Bersatu,12,"","Sibuti, Sarawak",Barisan Nasional,BN
Peter Chin Fah Kui,Sarawak,Miri,http://en.wikipedia.org/wiki/Peter_Chin_Fah_Kui,SUPP,Sarawak United Peoples' Party,12,"","Miri, Sarawak",Barisan Nasional,BN
Jacob Dungau Sagan,Sarawak,Baram,http://en.wikipedia.org/wiki/Jacob_Dungau_Sagan,SPDP,Sarawak Progressive Democratic Party,12,"","Baram, Sarawak",Barisan Nasional,BN
Hasbi Habibollah,Sarawak,Limbang,http://en.wikipedia.org/wiki/Hasbi_Habibollah,PBB,Parti Pesaka Bumiputera Bersatu,12,"","Limbang, Sarawak",Barisan Nasional,BN
Henry Sum Agong,Sarawak,Lawas,http://en.wikipedia.org/wiki/Henry_Sum_Agong,PBB,Parti Pesaka Bumiputera Bersatu,12,"","Lawas, Sarawak",Barisan Nasional,BN
Zahidi Zainul Abidin,Perlis,Padang Besar,http://en.wikipedia.org/wiki/Zahidi_Zainul_Abidin,UMNO,United Malays National Organisation,13,"","Padang Besar, Perlis",Barisan Nasional,BN
Shaharuddin Ismail,Perlis,Kangar,http://en.wikipedia.org/wiki/Shaharuddin_Ismail,UMNO,United Malays National Organisation,13,"","Kangar, Perlis",Barisan Nasional,BN
Shahidan Kassim,Perlis,Arau,http://en.wikipedia.org/wiki/Shahidan_Kassim,UMNO,United Malays National Organisation,13,"","Arau, Perlis",Barisan Nasional,BN
Nawawi Ahmad,Kedah,Langkawi,http://en.wikipedia.org/wiki/Nawawi_Ahmad,UMNO,United Malays National Organisation,13,"","Langkawi, Kedah",Barisan Nasional,BN
Othman Aziz,Kedah,Jerlun,http://en.wikipedia.org/wiki/Othman_Aziz,UMNO,United Malays National Organisation,13,"","Jerlun, Kedah",Barisan Nasional,BN
Mohd Johari Baharum,Kedah,Kubang Pasu,http://en.wikipedia.org/wiki/Mohd_Johari_Baharum,UMNO,United Malays National Organisation,13,"","Kubang Pasu, Kedah",Barisan Nasional,BN
Mahdzir Khalid,Kedah,Padang Terap,http://en.wikipedia.org/wiki/Mahdzir_Khalid,UMNO,United Malays National Organisation,13,"","Padang Terap, Kedah",Barisan Nasional,BN
Mahfuz Omar,Kedah,Pokok Sena,http://en.wikipedia.org/wiki/Mahfuz_Omar,PAS,Pan-Malaysian Islamic Party,13,"","Pokok Sena, Kedah",,
Gooi Hsiao Leung,Kedah,Alor Setar,http://en.wikipedia.org/wiki/Gooi_Hsiao_Leung,PKR,People's Justice Party,13,"","Alor Setar, Kedah",,
Azman Ismail,Kedah,Kuala Kedah,http://en.wikipedia.org/wiki/Azman_Ismail,PKR,People's Justice Party,13,"","Kuala Kedah, Kedah",,
Othman Abdul,Kedah,Pendang,http://en.wikipedia.org/wiki/Othman_Abdul,UMNO,United Malays National Organisation,13,"","Pendang, Kedah",Barisan Nasional,BN
Jamil Khir Baharom,Kedah,Jerai,http://en.wikipedia.org/wiki/Jamil_Khir_Baharom,UMNO,United Malays National Organisation,13,"","Jerai, Kedah",Barisan Nasional,BN
Mansor Abd Rahman,Kedah,Sik,http://en.wikipedia.org/wiki/Mansor_Abd_Rahman,UMNO,United Malays National Organisation,13,"","Sik, Kedah",Barisan Nasional,BN
Ismail Daut,Kedah,Merbok,http://en.wikipedia.org/wiki/Ismail_Daut,UMNO,United Malays National Organisation,13,"","Merbok, Kedah",Barisan Nasional,BN
