id,group,start_date,term,area,name,end_date
7194,Lietuvos socialdemokratų partija,2012-11-17,11,Vilkaviškio  (Nr. 68) apygardoje,Algirdas Butkevičius,
7196,"""Drąsos kelias"" politinė partija",2012-11-17,11,pagal sąrašą,Algirdas Vaclovas Patackas,2015-04-03
7198,Lietuvos Respublikos liberalų sąjūdis,2012-11-17,11,Varėnos - Eišiškių  (Nr. 70) apygardoje,Algis Kašėta,2015-04-08
7199,Partija Tvarka ir teisingumas,2012-11-17,11,Gargždų  (Nr. 31) apygardoje,Petras Gražulis,
7206,Tėvynės sąjunga - Lietuvos krikščionys demokratai,2012-11-17,11,Aleksoto -  Vilijampolės  (Nr. 12) apygardoje,Rytas Kupčinskas,
7207,Tėvynės sąjunga - Lietuvos krikščionys demokratai,2012-11-17,11,Naujamiesčio  (Nr. 1) apygardoje,Irena Degutienė,
7208,Tėvynės sąjunga - Lietuvos krikščionys demokratai,2012-11-17,11,Šeškinės  (Nr. 6) apygardoje,Audronius Ažubalis,
7221,Tėvynės sąjunga - Lietuvos krikščionys demokratai,2012-11-17,11,Pasvalio - Panevėžio  (Nr. 47) apygardoje,Antanas Matulas,
7227,Tėvynės sąjunga - Lietuvos krikščionys demokratai,2012-11-17,11,pagal sąrašą,Arvydas Vidžiūnas,
7229,Tėvynės sąjunga - Lietuvos krikščionys demokratai,2012-11-17,11,pagal sąrašą,Vilija Aleknaitė Abramikienė,
7242,Tėvynės sąjunga - Lietuvos krikščionys demokratai,2012-11-17,11,Plungės - Rietavo  (Nr. 35) apygardoje,Jurgis Razma,
7252,Lietuvos socialdemokratų partija,2012-11-17,11,pagal sąrašą,Algirdas Sysas,
73568,Išsikėlė pats,2012-11-17,11,Karoliniškių  (Nr. 8) apygardoje,Linas Balsys,
73569,Darbo partija,2012-11-17,11,Ignalinos - Švenčionių  (Nr. 53) apygardoje,Šarūnas Birutis,
73570,Darbo partija,2012-11-17,11,Molėtų - Švenčionių  (Nr. 54) apygardoje,Petras Čimbaras,
73571,Darbo partija,2012-11-17,11,pagal sąrašą,Viktoras Fiodorovas,
73572,Lietuvos Respublikos liberalų sąjūdis,2012-11-17,11,Pakruojo - Joniškio  (Nr. 46) apygardoje,Vitalijus Gailius,
73573,Tėvynės sąjunga - Lietuvos krikščionys demokratai,2012-11-17,11,pagal sąrašą,Sergejus Jovaiša,
73574,Lietuvos socialdemokratų partija,2012-11-17,11,pagal sąrašą,Benediktas Juodka,
73575,Tėvynės sąjunga - Lietuvos krikščionys demokratai   Radviliškio,2012-11-17,11,pagal sąrašą,Vytautas Juozapaitis,
73576,Darbo partija,2012-11-17,11,Dzūkijos  (Nr. 69) apygardoje,Raimundas Markauskas,
73577,Darbo partija,2012-11-17,11,Nevėžio  (Nr. 26) apygardoje,Petras Narkevičius,
73578,Išsikėlė pats,2012-11-17,11,Prienų - Birštono  (Nr. 67) apygardoje,Andrius Palionis,
73579,Darbo partija,2012-11-17,11,Baltijos  (Nr. 20) apygardoje,Raimundas Paliukas,
73580,Lietuvos socialdemokratų partija,2012-11-17,11,Tauragės  (Nr. 34) apygardoje,Darius Petrošius,
73581,Lietuvos socialdemokratų partija,2012-11-17,11,Aukštaitijos  (Nr. 28) apygardoje,Domas Petrulis,
73583,Lietuvos socialdemokratų partija,2012-11-17,11,Kauno - Kėdainių  (Nr. 65) apygardoje,Raminta Popovienė,
73584,Darbo partija,2012-11-17,11,Anykščių - Kupiškio  (Nr. 49) apygardoje,Ričardas Sargūnas,
73585,Tėvynės sąjunga - Lietuvos krikščionys demokratai,2012-11-17,11,Lazdynų  (Nr. 9) apygardoje,Algis Strelčiūnas,
73586,Lietuvos lenkų rinkimų akcija,2012-11-17,11,Širvintų - Vilniaus  (Nr. 55) apygardoje,Rita Tamašunienė,
73587,Darbo partija,2012-11-17,11,pagal sąrašą,Darius Ulickas,
73588,Išsikėlė pats,2012-11-17,11,Vakarinė  (Nr. 27) apygardoje,Povilas Urbšys,
73589,Partija Tvarka ir teisingumas,2012-11-17,11,Kretingos  (Nr. 36) apygardoje,Jolita Vaickienė,
