id,name,area,term,start_date,image,group,source_url,end_date,given_name,middle_name,family_name
18069,Вінник Іван Юлійович,Виборчому округу №184,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d184_1.jpg,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/18069,,Юлійович,Іван,Вінник
18043,Вітко Артем Леонідович,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/rp7.jpg,Член депутатської фракції Радикальної партії Олега Ляшка,http://itd.rada.gov.ua/mps/info/page/18043,,Леонідович,Артем,Вітко
12265,Власенко Сергій Володимирович,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/but15.jpg,"Член депутатської фракції політичної партії ""Всеукраїнське об'єднання ""Батьківщина"" у Верховній Раді України",http://itd.rada.gov.ua/mps/info/page/12265,,Володимирович,Сергій,Власенко
8132,Вовк Віктор Іванович,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/rp23.jpg,Член депутатської фракції Радикальної партії Олега Ляшка,http://itd.rada.gov.ua/mps/info/page/8132,,Іванович,Віктор,Вовк
15807,Вознюк Юрій Володимирович,Виборчому округу №153,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d153_1.jpg,"Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/15807,,Володимирович,Юрій,Вознюк
11596,Войцеховська Світлана Михайлівна,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/nf46.jpg,"Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/11596,,Михайлівна,Світлана,Войцеховська
18021,Войціцька Вікторія Михайлівна,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/sp22.jpg,"Член депутатської фракції Політичної партії ""Об'єднання ""САМОПОМІЧ""",http://itd.rada.gov.ua/mps/info/page/18021,,Михайлівна,Вікторія,Войціцька
8741,Воропаєв Юрій Миколайович,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/ob13.jpg,"Заступник голови депутатської фракції Політичної партії ""Опозиційний блок"" у Верховній Раді України восьмого скликання",http://itd.rada.gov.ua/mps/info/page/8741,,Миколайович,Юрій,Воропаєв
18070,Гаврилюк Михайло Віталійович,Виборчому округу №95,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d95_1.jpg,"Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/18070,,Віталійович,Михайло,Гаврилюк
18046,Галасюк Віктор Валерійович,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/rp10.jpg,Член депутатської фракції Радикальної партії Олега Ляшка,http://itd.rada.gov.ua/mps/info/page/18046,,Валерійович,Віктор,Галасюк
18071,Гальченко Андрій Володимирович,Виборчому округу №32,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d32_1.jpg,"Член депутатської фракції Політичної партії ""Опозиційний блок"" у Верховній Раді України восьмого скликання",http://itd.rada.gov.ua/mps/info/page/18071,,Володимирович,Андрій,Гальченко
18072,Гарбуз Юрій Григорійович,Виборчому округу №114,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d114_1.jpg,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/18072,,Григорійович,Юрій,Гарбуз
17985,Герасимов Артур Володимирович,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/bp43.jpg,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/17985,,Володимирович,Артур,Герасимов
17952,Геращенко Антон Юрійович,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/nf21.jpg,"Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/17952,,Юрійович,Антон,Геращенко
11121,Геращенко Ірина Володимирівна,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/bp9.jpg,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/11121,,Володимирівна,Ірина,Геращенко
15827,Герега Олександр Володимирович,Виборчому округу №192,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d192_1.jpg,Не входить до складу будь-якої фракції,http://itd.rada.gov.ua/mps/info/page/15827,,Володимирович,Олександр,Герега
8746,Гєллєр Євгеній Борисович,Виборчому округу №50,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d50_1.jpg,"Член депутатської групи ""Партія ""Відродження""",http://itd.rada.gov.ua/mps/info/page/8746,,Борисович,Євгеній,Гєллєр
5606,Гіршфельд Анатолій Мусійович,Виборчому округу №179,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d179_1.jpg,"Член депутатської групи ""Воля народу""",http://itd.rada.gov.ua/mps/info/page/5606,,Мусійович,Анатолій,Гіршфельд
15813,Головко Михайло Йосифович,Виборчому округу №164,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d164_1.jpg,Не входить до складу будь-якої фракції,http://itd.rada.gov.ua/mps/info/page/15813,,Йосифович,Михайло,Головко
8238,Голуб Владислав Володимирович,Виборчому округу №197,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d197_1.jpg,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/8238,,Володимирович,Владислав,Голуб
18074,Голубов Дмитро Іванович,Виборчому округу №136,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d136_1.jpg,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/18074,,Іванович,Дмитро,Голубов
17984,Гончаренко Олексій Олексійович,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/bp40.jpg,"Заступник голови депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/17984,,Олексійович,Олексій,Гончаренко
18002,Гопко Ганна Миколаївна,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/sp1.jpg,Не входить до складу будь-якої фракції,http://itd.rada.gov.ua/mps/info/page/18002,,Миколаївна,Ганна,Гопко
17962,Горбунов Олександр Володимирович,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/nf41.jpg,"Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ""",http://itd.rada.gov.ua/mps/info/page/17962,,Володимирович,Олександр,Горбунов
18075,Горват Роберт Іванович,Виборчому округу №68,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d68_1.jpg,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/18075,,Іванович,Роберт,Горват
15953,Гордєєв Андрій Анатолійович,Виборчому округу №183,8,2014-11-27,http://static.rada.gov.ua/dep_img8/d183_1.jpg,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/15953,,Анатолійович,Андрій,Гордєєв
17995,Грановський Олександр Михайлович,Загальнодержавному багатомандатному округу,8,2014-11-27,http://static.rada.gov.ua/dep_img8/bp58.jpg,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",http://itd.rada.gov.ua/mps/info/page/17995,,Михайлович,Олександр,Грановський
