id,name,area,area_id,image,term,source,district,party,birth_year
babajanowa-hajargul-owezowna,Hajargül Öwezowna Babajanowa,68,Birata,http://mejlis2.bushluk.com/site/assets/files/14536/68-babajanowa-ho.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/babajanowa-hajargul-owezowna/,Lebap welaýaty,"",1963
durdyyew-ramazan-mustapakulyyewich,Ramazan Mustapakulyýewiç Durdyýew,69,Seýdi,http://mejlis2.bushluk.com/site/assets/files/14537/69-durdyyew-rm.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/durdyyew-ramazan-mustapakulyyewich/,Lebap welaýaty,"",1963
berdiyewa-gulchehra-haydarowna,Gülçehra Haýdarowna Berdiýewa,70,Galkynyş,http://mejlis2.bushluk.com/site/assets/files/14538/70-berdiyewa-gh.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/berdiyewa-gulchehra-haydarowna/,Lebap welaýaty,"",1980
halbayewa-joragul-myrzayewna,Joragül Myrzaýewna Halbaýewa,71,Asuda,http://mejlis2.bushluk.com/site/assets/files/14539/71-halbayewa-jm.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/halbayewa-joragul-myrzayewna/,Lebap welaýaty,"",1971
shukurow-babamyrat-shayymowich,Babamyrat Şaýymowiç Şükürow,72,Hojagala,http://mejlis2.bushluk.com/site/assets/files/14540/72-sukurow-bs.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/shukurow-babamyrat-shayymowich/,Lebap welaýaty,"",1971
babayew-narmamet-rahmanowich,Narmamet Rahmanowiç Babaýew,73,Amyderýa,http://mejlis2.bushluk.com/site/assets/files/14541/73-babayew-nr.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/babayew-narmamet-rahmanowich/,Lebap welaýaty,"",1973
bazarow-batyr-aganazarowich,Batyr Aganazarowiç Bazarow,74,Zergär,http://mejlis2.bushluk.com/site/assets/files/14542/74-bazarow-ba.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/bazarow-batyr-aganazarowich/,Lebap welaýaty,"",1976
hudayberenow-arslan-eyeyewich,Arslan Eýeýewiç Hudaýberenow,75,Serdarabat,http://mejlis2.bushluk.com/site/assets/files/14543/75-hudayberdiyew-ae.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/hudayberenow-arslan-eyeyewich/,Lebap welaýaty,"",1977
astanow-dowletmyrat-sunnetowich,Döwletmyrat Sünnetowiç Astanow,76,Farap,http://mejlis2.bushluk.com/site/assets/files/14544/76-astanow-ds.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/astanow-dowletmyrat-sunnetowich/,Lebap welaýaty,"",1972
ibragimow-batyr-sapargulyyewich,Batyr Sapargulyýewiç Ibragimow,77,Jeýhun,http://mejlis2.bushluk.com/site/assets/files/14545/77-ibragimow-bs.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/ibragimow-batyr-sapargulyyewich/,Lebap welaýaty,"",1965
lazarewa-yelena-wiktorowna,Ýelena Wiktorowna Lazarewa,78,Ýaşlyk,http://mejlis2.bushluk.com/site/assets/files/14546/78-lazarewa-yw.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/lazarewa-yelena-wiktorowna/,Lebap welaýaty,"",1977
orazow-batyr-charyyewich,Batyr Çaryýewiç Orazow,79,Türkmenabat,http://mejlis2.bushluk.com/site/assets/files/14547/79--orazow.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/orazow-batyr-charyyewich/,Lebap welaýaty,"",1967
