id,name,area,group,group_id,term,source,national_identity,gender
2015-84,NIYONSENGA Gloriose,KIRUNDO,CNDD-FDD,,2015,,HUTU,Female
2015-85,NIYONZIMA Constantin,NGOZI,CNDD-FDD,,2015,,HUTU,Male
2015-86,NIYUKURI Salvator,RUTANA,CNDD-FDD,,2015,,HUTU,Male
2015-87,NKUNZIMANA Jean Claude,RUYIGI,CNDD-FDD,,2015,,TUTSI,Male
2015-88,NKURUNZIZA Jockie Chantal,RUYIGI,CNDD-FDD,,2015,,TUTSI,Female
2015-89,NSHAMAJE Hillarie,BUBANZA,ABIGENGA MIZERO Y’ABARUNDI,,2015,,TUTSI,Female
2015-90,NSHIMIRIMANA Georges,GITEGA,CNDD-FDD,,2015,,HUTU,Male
2015-91,NSHIMIRIMANA Marie Chantal,NGOZI,-,,2015,,TWA,Female
2015-92,NTAGAHORAHO Jeanne Marie,GITEGA,CNDD-FDD,,2015,,TUTSI,Female
2015-93,NTAHIMPERA Apollinaire,MURAMVYA,CNDD-FDD,,2015,,HUTU,Male
2015-94,NTAHONDEREYE Adolphe,MAIRIE,-,,2015,,TWA,Male
2015-95,NTAKIRUTIMANA Aloys,CIBITOKE,CNDD-FDD,,2015,,TUTSI,Male
2015-96,NTAKIYIRUTA Obed,RUMONGE,ABIGENGA MIZERO Y’ABARUNDI,,2015,,HUTU,Male
2015-97,NTEZUKOBAGIRA Emmanuel,BURURI,CNDD-FDD,,2015,,HUTU,Male
2015-98,NTIBASHARWA Ruth,CIBITOKE,CNDD-FDD,,2015,,HUTU,Female
2015-99,NTIMPIRANGEZA Grégoire,GITEGA,CNDD-FDD,,2015,,HUTU,Male
2015-100,NTIRANDEKURA Gaudence,MWARO,ABIGENGA MIZERO Y’ABARUNDI,,2015,,TUTSI,Female
2015-101,NTISEZERANA Gabriel,BUBANZA,CNDD-FDD,,2015,,HUTU,Male
2015-102,NYABENDA Pascal,BUBANZA,CNDD-FDD,,2015,,HUTU,Male
2015-103,NYANDWI Adrien,KAYANZA,CNDD-FDD,,2015,,TUTSI,Male
2015-104,NYANDWI Claire,MAKAMBA,ABIGENGA MIZERO Y’ABARUNDI,,2015,,TUTSI,Female
2015-105,NZEYIMANA Nestor,KIRUNDO,CNDD-FDD,,2015,,HUTU,Male
2015-106,NZEYIMANA Séraphine,RUMONGE,CNDD-FDD,,2015,,TUTSI,Female
