name,area_ar,area,image,term,source,end_date,end_reason
Muftah Esa  Alkertihi,وادي الشاطيء,Wadi Ashathi,https://www.temehu.com/pictures1/hor11/357-wadi-shathi.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Fatima Aboubaker  Abousa'adah,سبها,Sabha,https://www.temehu.com/pictures2/hor12/585-sabha.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Ahlam Muhammed Allafi,سبها,Sabha,https://www.temehu.com/pictures3/hor13/889-sabha.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Ibrahim Musbah Alhadi,سبها,Sabha,https://www.temehu.com/pictures2/hor12/695-sabha.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Musbah Douma  Ohidah,سبها,Sabha,https://www.temehu.com/pictures2/hor12/592-sabha.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Muhammed Abdulsalam  'Arifah,سبها,Sabha,https://www.temehu.com/pictures3/hor13/180-sabha.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Ahmed Alsharef  Rhouma,سبها,Sabha,https://www.temehu.com/pictures3/hor13/929-sabha.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Muhammed Ma'atoug Ejdid,سبها,Sabha,https://www.temehu.com/pictures2/hor12/733-sabha.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Muhammed Almahdi  Alhdiri,سبها,Sabha,https://www.temehu.com/pictures1/hor11/1249-sabha.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Yousef Kalikouri Qati Sidi,سبها,Sabha,https://www.temehu.com/pictures3/hor13/888-sabha.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Fatimah Abdulsalam  Alsou'ai,أوباري,Awbari,https://www.temehu.com/pictures1/hor11/1015-awbari.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Abdulhafid Muhammed Alsaghir,أوباري,Awbari,https://www.temehu.com/pictures3/hor13/905-awbari.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Abdulqader Hasen  Sulieman,أوباري,Awbari,https://www.temehu.com/pictures1/hor11/136-awbari.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Hasen Abubaker Omar Saleh,أوباري,Awbari,https://www.temehu.com/pictures3/hor13/1730-awbari.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Abdulsalam Muhammed Ali,أوباري,Awbari,https://www.temehu.com/pictures2/hor12/743-awbari.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Ibrahim Muhammed Krenfouda,أوباري,Awbari,https://www.temehu.com/pictures2/hor12/620-awbari.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Naser Yousef  Algheryani,غات,Ghat,https://www.temehu.com/pictures2/hor12/619-ghat.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Saleh Hema Bekdah,غات,Ghat,https://www.temehu.com/pictures1/hor11/135-ghat.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Muhammed Ali  Amoumen,وادي عتبة,Wadi 'Aitbah,https://www.temehu.com/pictures3/hor13/261-wadi-atbah.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Muhammed Ibrahim Tamer,تراغن,Traghen,https://www.temehu.com/pictures3/hor13/911-traghen.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Almahdi Masoud  Al'awer,"أم الأرانب – تويوى – حميرة 
     لبدير - مسقوين   ",Um-Alaraneb,https://www.temehu.com/pictures3/hor13/269-um-aranab.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Ehmid Hamed Ali Houma,"تمسة – مجدول – ام زوير 
        تربو ",Tmassah - Zawilah,https://www.temehu.com/pictures2/hor12/827-tmessah.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Saleh Qelma Yesko Derkoi,القطرون,Gatroun,https://www.temehu.com/pictures2/hor12/744-gatroun.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Rahma Abubaker Ali Adam,مرزق جيزاو + مرزق المدينة ,Murzuq,https://www.temehu.com/pictures1/hor11/449-murzuq.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Muhammed Adam  Lino,مرزق جيزاو + مرزق المدينة ,Murzuq,https://www.temehu.com/pictures3/hor13/265-murzuq.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
"Ibrahim Muftah Hamed Salem
Excluded because of Isolation Law. 
The only winning 
member to be 
ejected 
because of the Isolation Law.",سرت,Sirte,https://www.temehu.com/pictures2/hor12/560-sirte.jpg,1,https://www.temehu.com/house-of-representatives.htm,,
Muhammed Othman Ali Alshamakhi,الخمس المدينة,Khoms City,https://www.temehu.com/pictures3/hor13/273-khoms-city.jpg,1,https://www.temehu.com/house-of-representatives.htm,2014-08-04,"Removed as a result of court-ordered 
recounts. 
Replaced by: 
Kamal Hsein Alshalbi"
Abdulwahid Emar 'Aashour Alqadi,جنزور,Janzur,https://www.temehu.com/pictures1/hor11/1298-janzur.jpg,1,https://www.temehu.com/house-of-representatives.htm,2014-08-04,"Removed due to reported electoral
fraud. 
Replaced by: 
Bashir Saad Lahmer  "
Abdulaghani Hasan Milad Altoumi,وادي الشاطيء,Wadi Ashathi,https://www.temehu.com/pictures2/hor12/550-wadi-shathi.jpg,1,https://www.temehu.com/house-of-representatives.htm,2014-08-04,"Removed as a result of court-ordered 
recounts.
Replaced by:
Rajav Meftah Ommar"
Hujrah Abdulsalam Eskenda,أوباري,Awbari,https://www.temehu.com/pictures3/hor13/1729-awbari.jpg,1,https://www.temehu.com/house-of-representatives.htm,2014-08-04,"Removed because the court of appeal 
has annulled
her votes. 
She was replaced by: 
Fatima Abdulsalam Alsawiaei"
