id,name,party,party_id,area,image,term
5,Haroun Kabadi,Mouvement Patriotique du Salut,MPS,Moyen Chari,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton5-e14f2.jpg,2011
57,Mamadou Maindoh,Rassemblement des Nationalistes et Démocrates Tchadiens,RNDT Le Réveil,Moyen Chari,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton57-3cb8f.jpg,2011
173,Manadji Tolkem Bertin,Union pour le Renouveau et la Démocratie,URD,Moyen Chari,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton173-05fa8.jpg,2011
109,Nobo Ndjibo,unknown,unknown,Moyen Chari,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton109-56e2a.jpg,2011
233,Ogueye Nargaye,Mouvement Patriotique du Salut,MPS,Moyen Chari,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton233-a5420.jpg,2011
112,Romadoumngar Felix Nialbé,Union pour le Renouveau et la Démocratie,URD,Moyen Chari,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton112-f101f.jpg,2011
218,Mahamat Togoï Tekilio,Mouvement Patriotique du Salut,MPS,N’Djamena 01,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton218-3a6c9.jpg,2011
176,Outman Abakar Djamé,Mouvement Patriotique du Salut,MPS,N’Djamena 01,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton176-6c5ad.jpg,2011
113,Mahamat Ali Kosso,Mouvement Patriotique du Salut,MPS,N’Djamena 02,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton113-6d293.jpg,2011
234,Ousmane Cherif,Union Nationale pour la Démocratie et le Renouveau,UNDR,N’Djamena 02,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton234-5058e.jpg,2011
207,Djidda Mamar Mahamat,Mouvement Patriotique du Salut,MPS,N’Djamena 03,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton207-fef71.jpg,2011
14,Fatimé Doubangar,Mouvement Patriotique du Salut,MPS,N’Djamena 03,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton14-d6872.jpg,2011
232,Ousmane Awadelkerim,Mouvement Patriotique du Salut,MPS,N’Djamena 04,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton232-ad3a3.jpg,2011
33,Saleh Ali Moustapha,unknown,unknown,N’Djamena 04,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton33-4419b.jpg,2011
125,Brahim Moussa Rouga,Mouvement Patriotique du Salut,MPS,N’Djamena 05,http://www.assemblee-tchad.org/local/cache-vignettes/L250xH165/arton125-d4420.jpg,2011
