id,name,area,group,group_id,gender,phone,term,source
424,Hon. A.R. Kachale Banda,Zomba,Peoples Party,PP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=424&mode=alps
406,Hon. K.H. Kachali,Mzimba,Peoples Party,PP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=406&mode=alps
409,Hon. A.A.N. Kachikho,Phalombe,Democratic Progressive Party,DPP,F,"",2014,http://www.parliament.gov.mw/mp.php?indexc=409&mode=alps
436,Hon. K.P. Kachingwe,Blantyre,Independent,Independent,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=436&mode=alps
405,Hon. E.J. Kaduya,Thyolo,Democratic Progressive Party,DPP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=405&mode=alps
433,Hon. B. Kadzamira,Ntchisi,Independent,Independent,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=433&mode=alps
423,Hon. D.D.S. Kadzinja,Blantyre,Democratic Progressive Party,DPP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=423&mode=alps
417,Hon. P.N. Kainga,Zomba,Peoples Party,PP,F,"",2014,http://www.parliament.gov.mw/mp.php?indexc=417&mode=alps
421,Hon. C.J.F. Kajawa,Lilongwe,Independent,Independent,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=421&mode=alps
354,Hon. S.J. Kaliati,Machinga,United Democratic Front,UDF,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=354&mode=alps
410,Hon. P.A. Kaliati,Mulanje,Democratic Progressive Party,DPP,F,"",2014,http://www.parliament.gov.mw/mp.php?indexc=410&mode=alps
411,Hon. A.D. Kaliati,Mulanje,Democratic Progressive Party,DPP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=411&mode=alps
366,Hon. J.A.N. Kalilani,Dowa,Democratic Progressive Party,DPP,F,"",2014,http://www.parliament.gov.mw/mp.php?indexc=366&mode=alps
438,Hon. W.L. Kalima,Ntchisi,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=438&mode=alps
416,Hon. B.E. Kalindo,Mulanje,Democratic Progressive Party,DPP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=416&mode=alps
408,Hon. I. Kalosi,Mangochi,United Democratic Front,UDF,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=408&mode=alps
432,Hon. K. Kalua,Rumphi,Peoples Party,PP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=432&mode=alps
430,Hon. E.W. Kamanga,Kasungu,Peoples Party,PP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=430&mode=alps
428,Hon. T. Kamangira,Nsanje,Democratic Progressive Party,DPP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=428&mode=alps
437,Hon. M.I. Kamuyambeni,Ntcheu,Democratic Progressive Party,DPP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=437&mode=alps
429,Hon. J.B. Kamwambi,Karonga,Democratic Progressive Party,DPP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=429&mode=alps
414,Hon. G.J. Kamwanja,Likoma,Democratic Progressive Party,DPP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=414&mode=alps
478,Hon. K. Kandodo Chiponda,Kasungu,Malawi Congress Party,MCP,F,"",2014,http://www.parliament.gov.mw/mp.php?indexc=478&mode=alps
415,Hon. G.G. Kanjere,Ntcheu,Democratic Progressive Party,DPP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=415&mode=alps
348,Hon. C.H.B. Kaphamtengo Yona,Salima,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=348&mode=alps
407,Hon. M.M. Kapichira,Mangochi,United Democratic Front,UDF,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=407&mode=alps
382,Hon. I.A. Karim,Chikwawa,Peoples Party,PP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=382&mode=alps
365,Hon. W.Q.B. Karonga,Chiradzulu,Independent,Independent,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=365&mode=alps
412,Hon. F.L. Kasaila,Nsanje,Democratic Progressive Party,DPP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=412&mode=alps
420,Hon. D.C. Katsonga,Mwanza,Chipani Cha Pfuko,CCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=420&mode=alps
434,Hon. S.D. Kawale,Dowa,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=434&mode=alps
431,Hon. M.F. Kazombo,Kasungu,Malawi Congress Party,MCP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=431&mode=alps
413,Hon. G.B. Khamisa,Thyolo,Independent,Independent,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=413&mode=alps
418,Hon. M.M. Khembo,Neno,Independent,Independent,F,"",2014,http://www.parliament.gov.mw/mp.php?indexc=418&mode=alps
427,Hon. R.S. Khumbanyiwa,Chikwawa,United Democratic Front,UDF,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=427&mode=alps
426,Hon. N.M.M. Kilekwa,Mulanje,Independent,Independent,F,"",2014,http://www.parliament.gov.mw/mp.php?indexc=426&mode=alps
419,Hon. J.J.C.C. Kouwenhoven,Rumphi,Independent,Independent,F,"",2014,http://www.parliament.gov.mw/mp.php?indexc=419&mode=alps
425,Hon. P. Dr. Kumpalume,Blantyre,Democratic Progressive Party,DPP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=425&mode=alps
389,Hon. D. Lally,Machinga,United Democratic Front,UDF,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=389&mode=alps
350,Hon. K.A. Liguluwe,Salima,Peoples Party,PP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=350&mode=alps
364,Hon. A. Lipande,Ntcheu,Democratic Progressive Party,DPP,M,"",2014,http://www.parliament.gov.mw/mp.php?indexc=364&mode=alps
361,Hon. M.C. Livuza Mpanga,Phalombe,Independent,Independent,F,"",2014,http://www.parliament.gov.mw/mp.php?indexc=361&mode=alps
