id,name,sortname,image,group,birth_date,group_id,area,start_date,term,source
4828,ĐURO POPIJAČ,"Popijač, Đuro",http://www.sabor.hr/lgs.axd?t=16&id=19618,Deputy Club of the Croatian Democratic Union,1959-04-23,5175,2nd,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4828
5104,VANJA POSAVAC,"Posavac, Vanja",http://www.sabor.hr/lgs.axd?t=16&id=19619,Deputy Club of the Social Democratic Party,1972-07-31,5178,2nd,2011-12-23,7,http://www.sabor.hr/lgs.axd?t=24&id=5104
5106,IVANA POSAVEC KRIVEC,"Posavec Krivec, Ivana",http://www.sabor.hr/lgs.axd?t=16&id=19620,Deputy Club of the Social Democratic Party,1975-09-17,5178,6th,2011-12-23,7,http://www.sabor.hr/lgs.axd?t=24&id=5106
5660,ALEN PRELEC,"Prelec, Alen",http://www.sabor.hr/lgs.axd?t=16&id=25482,Deputy Club of the Social Democratic Party,1967-07-27,5178,1st,2013-07-12,7,http://www.sabor.hr/lgs.axd?t=24&id=5660
4830,MILORAD PUPOVAC,"Pupovac, Milorad",http://www.sabor.hr/lgs.axd?t=16&id=19621,Deputy Club of the Independent Democratic Serbian PartyDeputy Club of national minorities,1955-11-05,5180,12th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4830
5067,IVAN RAČAN,"Račan, Ivan",http://www.sabor.hr/lgs.axd?t=16&id=22157,Deputy Club of the Social Democratic Party,1973-02-02,5178,1st,2011-12-23,7,http://www.sabor.hr/lgs.axd?t=24&id=5067
4834,FURIO RADIN,"Radin, Furio",http://www.sabor.hr/lgs.axd?t=16&id=19622,Deputy Club of national minoritiesDeputy Club of the Istrian Democratic Assembly and the independent MP Furio Radin,1950-06-01,5254,12th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4834
5556,MARIJA RAPO,"Rapo, Marija",http://www.sabor.hr/lgs.axd?t=16&id=23134,Deputy Club of the Croatian Democratic Union,"",5175,11th,2013-01-25,7,http://www.sabor.hr/lgs.axd?t=24&id=5556
4840,ŽELJKO REINER,"Reiner, Željko",http://www.sabor.hr/lgs.axd?t=16&id=19625,Deputy Club of the Croatian Democratic Union,1953-05-28,5175,1st,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4840
5108,DAMIR RILJE,"Rilje, Damir",http://www.sabor.hr/lgs.axd?t=16&id=19817,Deputy Club of the Social Democratic Party,1958-05-09,5178,9th,2011-12-23,7,http://www.sabor.hr/lgs.axd?t=24&id=5108
5069,DAMIR RIMAC,"Rimac, Damir",http://www.sabor.hr/lgs.axd?t=16&id=19626,Deputy Club of the Social Democratic Party,1972-11-01,5178,5th,2011-12-23,7,http://www.sabor.hr/lgs.axd?t=24&id=5069
4844,ZDRAVKO RONKO,"Ronko, Zdravko",http://www.sabor.hr/lgs.axd?t=16&id=19628,Deputy Club of the Social Democratic Party,1949-09-10,5178,5th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4844
5843,VESNA SABOLIĆ,"Sabolić, Vesna",http://www.sabor.hr/lgs.axd?t=16&id=40028,"Deputy Club of the Democratic Centre, New Wave and People's Party - Reformists",1958-03-21,5809,9th,2014-07-01,7,http://www.sabor.hr/lgs.axd?t=24&id=5843
4877,JOSIP SALAPIĆ,"Salapić, Josip",http://www.sabor.hr/lgs.axd?t=16&id=19630,Deputy Club of the Croatian Democratic Alliance of Slavonia and Baranja,1976-03-13,5177,4th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4877
4867,ANTE SANADER,"Sanader, Ante",http://www.sabor.hr/lgs.axd?t=16&id=24691,Deputy Club of the Croatian Democratic Union,1960-05-17,5175,9th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4867
4933,GORDANA SOBOL,"Sobol, Gordana",http://www.sabor.hr/lgs.axd?t=16&id=19635,Deputy Club of the Social Democratic Party,1961-09-12,5178,1st,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4933
4854,GIOVANNI SPONZA,"Sponza, Giovanni",http://www.sabor.hr/lgs.axd?t=16&id=19639,Deputy Club of the Istrian Democratic Assembly and the independent MP Furio Radin,1963-08-17,5181,8th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4854
4937,NENAD STAZIĆ,"Stazić, Nenad",http://www.sabor.hr/lgs.axd?t=16&id=19642,Deputy Club of the Social Democratic Party,1957-07-13,5178,7th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4937
4941,ĐURĐICA SUMRAK,"Sumrak, Đurđica",http://www.sabor.hr/lgs.axd?t=16&id=19645,Deputy Club of the Croatian Democratic Union,1959-03-23,5175,1st,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4941
4943,IVAN ŠANTEK,"Šantek, Ivan",http://www.sabor.hr/lgs.axd?t=16&id=19631,Deputy Club of the Croatian Democratic Union,1960-10-20,5175,6th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4943
4947,ŽELJKO ŠEMPER,"Šemper, Željko",http://www.sabor.hr/lgs.axd?t=16&id=19818,Deputy Club of the Croatian Party of Pensioners,1944-01-17,5179,2nd,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4947
4949,TATJANA ŠIMAC BONAČIĆ,"Šimac Bonačić, Tatjana",http://www.sabor.hr/lgs.axd?t=16&id=19634,Deputy Club of the Social Democratic Party,1957-09-29,5178,10th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4949
5658,IVAN ŠIMUNOVIĆ,"Šimunović, Ivan",http://www.sabor.hr/lgs.axd?t=16&id=24980,Independent,"",,10th,2013-07-01,7,http://www.sabor.hr/lgs.axd?t=24&id=5658
4873,VESNA ŠKARE OŽBOLT,"Škare Ožbolt, Vesna",http://www.sabor.hr/lgs.axd?t=16&id=26860,"Deputy Club of the Democratic Centre, New Wave and People's Party - Reformists",1961-06-20,5809,6th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4873
5357,MARIJAN ŠKVARIĆ,"Škvarić, Marijan",http://www.sabor.hr/lgs.axd?t=16&id=20447,Deputy Club of the Croatian People's Party - Liberal Democrats,1962-12-11,5176,3rd,2012-03-08,7,http://www.sabor.hr/lgs.axd?t=24&id=5357
4852,DUNJA ŠPOLJAR,"Špoljar, Dunja",http://www.sabor.hr/lgs.axd?t=16&id=19638,Deputy Club of the Social Democratic Party,1966-08-31,5178,3rd,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4852
4955,IVAN ŠUKER,"Šuker, Ivan",http://www.sabor.hr/lgs.axd?t=16&id=19644,Deputy Club of the Croatian Democratic Union,1957-11-12,5175,6th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4955
4957,NANSI TIRELI,"Tireli, Nansi",http://www.sabor.hr/lgs.axd?t=16&id=19646,Deputy Club of the Croatian Labourists - Labour party,1965-02-26,5174,8th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4957
4961,DAMIR TOMIĆ,"Tomić, Damir",http://www.sabor.hr/lgs.axd?t=16&id=19819,Deputy Club of the Social Democratic Party,1970-03-22,5178,4th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4961
4965,MIROSLAV TUĐMAN,"Tuđman, Miroslav",http://www.sabor.hr/lgs.axd?t=16&id=19649,Deputy Club of the Croatian Democratic Union,1946-05-25,5175,1st,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4965
4967,NADA TURINA-ĐURIĆ,"Turina-Đurić, Nada",http://www.sabor.hr/lgs.axd?t=16&id=19650,Deputy Club of the Croatian People's Party - Liberal Democrats,1964-07-11,5176,8th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4967
4969,ZLATKO TUŠAK,"Tušak, Zlatko",http://www.sabor.hr/lgs.axd?t=16&id=19651,Deputy Club of ORaH,1964-07-11,6004,2nd,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=4969
5110,FRANKO VIDOVIĆ,"Vidović, Franko",http://www.sabor.hr/lgs.axd?t=16&id=19652,Deputy Club of the Social Democratic Party,1967-11-13,5178,9th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5110
5112,TANJA VRBAT GRGIĆ,"Vrbat Grgić, Tanja",http://www.sabor.hr/lgs.axd?t=16&id=19654,Deputy Club of the Social Democratic Party,1979-06-18,5178,8th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5112
5118,JOSIP VUKOVIĆ,"Vuković, Josip",http://www.sabor.hr/lgs.axd?t=16&id=19655,Deputy Club of the Social Democratic Party,1946-07-30,5178,5th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5118
5122,BRANKO VUKŠIĆ,"Vukšić, Branko",http://www.sabor.hr/lgs.axd?t=16&id=19657,Deputy Club of Independent Left,1956-05-14,5878,1st,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5122
5124,NIKOLA VULJANIĆ,"Vuljanić, Nikola",http://www.sabor.hr/lgs.axd?t=16&id=19661,Deputy Club of Independent Left,1949-06-25,5878,7th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5124
5126,DRAGICA ZGREBEC,"Zgrebec, Dragica",http://www.sabor.hr/lgs.axd?t=16&id=19659,Deputy Club of the Social Democratic Party,1950-06-24,5178,2nd,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5126
5130,TOMISLAV ŽAGAR,"Žagar, Tomislav",http://www.sabor.hr/lgs.axd?t=16&id=19658,Deputy Club of the Social Democratic Party,1969-12-10,5178,4th,2011-12-22,7,http://www.sabor.hr/lgs.axd?t=24&id=5130
5358,VESNA ŽELJEŽNJAK,"Želježnjak, Vesna",http://www.sabor.hr/lgs.axd?t=16&id=19823,Deputy Club of the Social Democratic Party,1958-01-10,5178,2nd,2012-01-18,7,http://www.sabor.hr/lgs.axd?t=24&id=5358
