id,name,sort_name,gender,email,area,group,group_id,term
865,Patricio Melero Abaroa,Melero,male,pmelero,16,Unión Demócrata Independiente,UDI,6
866,Fernando Meza Moncada,Meza,male,fmeza,52,Partido Radical Social Demócrata,PRSD,6
867,Cristián Monckeberg Bruner,Monckeberg,male,cmonckeberg,23,Renovación Nacional,RN,6
868,Nicolás Monckeberg Díaz,Monckeberg,male,nmonckeberg,18,Renovación Nacional,RN,6
869,Manuel Monsalve Benavides,Monsalve,male,mmonsalve,46,Partido Socialista,PS,6
870,Carlos Montes Cisternas,Montes,male,cmontes,26,Partido Socialista,PS,6
871,Iván Moreira Barros,Moreira,male,imoreira,27,Unión Demócrata Independiente,UDI,6
873,Adriana Muñoz D'Albora,Muñoz,female,amunoz,9,Partido Por la Democracia,PPD,6
874,Claudia Nogueira Fernández,Nogueira,female,cnogueira,19,Unión Demócrata Independiente,UDI,6
875,Iván Norambuena Farías,Norambuena,male,inorambuena,46,Unión Demócrata Independiente,UDI,6
876,Marco Antonio Núñez Lozano,Núñez,male,mnunez,11,Partido Por la Democracia,PPD,6
877,Sergio Ojeda Uribe,Ojeda,male,sojeda,55,Partido Demócrata Cristiano,DC,6
879,José Miguel Ortiz Novoa,Ortiz,male,jmortiz,44,Partido Demócrata Cristiano,DC,6
880,Clemira Pacheco Rivas,Pacheco,female,cpacheco,45,Partido Socialista,PS,6
883,Denise Pascal Allende,Pascal,female,dpascal,31,Partido Socialista,PS,6
885,José Pérez Arriagada,Pérez,male,jperez,47,Partido Radical Social Demócrata,PRSD,6
887,Carlos Recondo Lavanderos,Recondo,male,crecondo,56,Unión Demócrata Independiente,UDI,6
888,Alberto Robles Pantoja,Robles,male,arobles,6,Partido Radical Social Demócrata,PRSD,6
889,Manuel Rojas Molina,Rojas,male,mrojas,4,Unión Demócrata Independiente,UDI,6
891,Karla Rubilar Barahona,Rubilar,female,krubilar,17,Renovación Nacional,RN,6
892,María Antonieta Saa Díaz,Saa,female,masaa,17,Partido Por la Democracia,PPD,6
893,Jorge Sabag Villalobos,Sabag,male,jsabag,42,Partido Demócrata Cristiano,DC,6
895,Felipe Salaberry Soto,Salaberry,male,fsalaberry,25,Unión Demócrata Independiente,UDI,6
897,Alejandra Sepúlveda Orbenes,Sepúlveda,female,asepulveda,34,Partido Regionalista Independiente,PRI,6
898,Gabriel Silber Romo,Silber,male,gsilber,16,Partido Demócrata Cristiano,DC,6
902,Jorge Tarud Daccarett,Tarud,male,jtarud,39,Partido Por la Democracia,PPD,6
905,Marisol Turres Figueroa,Turres,female,mturres,57,Unión Demócrata Independiente,UDI,6
906,Jorge Ulloa Aguillón,Ulloa,male,julloa,43,Unión Demócrata Independiente,UDI,6
907,Gonzalo Uriarte Herrera,Uriarte,male,guriarte,31,Unión Demócrata Independiente,UDI,6
908,Ignacio Urrutia Bonilla,Urrutia,male,iurrutia,40,Unión Demócrata Independiente,UDI,6
911,Patricio Vallespín López,Vallespín,male,pvallespin,57,Partido Demócrata Cristiano,DC,6
913,Mario Venegas Cárdenas,Venegas,male,mvenegas,48,Partido Demócrata Cristiano,DC,6
915,Germán Verdugo Soto,Verdugo,male,gverdugo,37,Renovación Nacional,RN,6
916,Ximena Vidal Lázaro,Vidal,female,xvidal,25,Partido Por la Democracia,PPD,6
917,Gastón Von Mühlenbrock Zamora,Von Mühlenbrock,male,gvonmuhlenbrock,54,Unión Demócrata Independiente,UDI,6
919,Felipe Ward Edwards,Ward,male,fw120,3,Unión Demócrata Independiente,UDI,6
920,Marcelo Schilling Rodríguez,Schilling,male,schilling,12,Partido Socialista,PS,6
922,Felipe Harboe Bascuñán,Harboe,male,fharboe,22,Partido Por la Democracia,PPD,6
923,Pedro Pablo Alvarez-Salamanca Ramírez,Alvarez-Salamanca,male,palvarez-salamanca,38,Unión Demócrata Independiente,UDI,6
924,Osvaldo Andrade Lara,Andrade,male,oandrade,29,Partido Socialista,PS,6
925,Pepe Auth Stewart,Auth,male,pepeauth,20,Partido Por la Democracia,PPD,6
926,Nino Baltolu Rasera,Baltolu,male,nbaltolu,1,Unión Demócrata Independiente,UDI,6
927,Pedro Browne Urrejola,Browne,male,pbrowne,28,Renovación Nacional,RN,6
928,Giovanni Calderón Bassi,Calderón,male,gcalderon,6,Unión Demócrata Independiente,UDI,6
929,Cristián Campos Jara,Campos,male,ccampos,43,Partido Por la Democracia,PPD,6
930,Lautaro Carmona Soto,Carmona,male,lcarmona,5,Partido Comunista,PC,6
931,Juan Luis Castro González,Castro,male,jlcastro,32,Partido Socialista,PS,6
932,Eduardo Cerda García,Cerda,male,ecerda,10,Partido Demócrata Cristiano,DC,6
933,Aldo Cornejo González,Cornejo,male,acornejo,13,Partido Demócrata Cristiano,DC,6
934,Fuad Chahin Valenzuela,Chahin,male,fchahin,49,Partido Demócrata Cristiano,DC,6
935,José Manuel Edwards Silva,Edwards,male,jmedwards,51,Renovación Nacional,RN,6
936,Cristina Girardi Lavín,Girardi,female,cgirardi,18,Partido Por la Democracia,PPD,6
937,Hugo Gutiérrez Gálvez,Gutiérrez,male,hgutierrez,2,Partido Comunista,PC,6
938,Romilio Gutiérrez Pino,Gutiérrez,male,rgutierrez,39,Unión Demócrata Independiente,UDI,6
939,Gustavo Hasbún Selume,Hasbún,male,ghasbun,26,Unión Demócrata Independiente,UDI,6
940,María José Hoffmann Opazo,Hoffmann,female,mjhoffmann,15,Unión Demócrata Independiente,UDI,6
941,Luis Lemus Aracena,Lemus,male,llemus,9,Partido Socialista,PS,6
942,Javier Macaya Danús,Macaya,male,jmacaya,34,Unión Demócrata Independiente,UDI,6
943,Miodrag Marinovic Solo de Zaldívar,Marinovic,male,mmarinovic,60,Independientes,IND,6
944,Andrea Molina Oliva,Molina,female,amolina,10,Unión Demócrata Independiente,UDI,6
945,Celso Morales Muñoz,Morales,male,cmorales,36,Unión Demócrata Independiente,UDI,6
946,Leopoldo Pérez Lahsen,Pérez,male,lperezl,29,Renovación Nacional,RN,6
947,Ricardo Rincón González,Rincón,male,rrincon,33,Partido Demócrata Cristiano,DC,6
948,Gaspar Rivas Sánchez,Rivas,male,grivas,11,Renovación Nacional,RN,6
949,Marcela Sabat Fernández,Sabat,female,msabat,21,Renovación Nacional,RN,6
950,René Saffirio Espinoza,Saffirio,male,rsaffirio,50,Partido Demócrata Cristiano,DC,6
951,David Sandoval Plaza,Sandoval,male,dsandoval,59,Unión Demócrata Independiente,UDI,6
952,Alejandro Santana Tirachini,Santana,male,asantana,58,Renovación Nacional,RN,6
953,Frank Sauerbaum Muñoz,Sauerbaum,male,fs,42,Renovación Nacional,RN,6
954,Ernesto Silva Méndez,Silva,male,esilva,23,Unión Demócrata Independiente,UDI,6
955,Arturo Squella Ovalle,Squella,male,asquella,12,Unión Demócrata Independiente,UDI,6
