id,name,area,area_id,image,term,source,group,birth_year
allabayew-maksat-gayypnazarowic,Maksat Gaýypnazarowiç Allabaýew,Daşoguz welaýaty,Akdepe,http://mejlis2.bushluk.com/site/assets/files/14513/45-allabayew-mg.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/allabayew-maksat-gayypnazarowic/,"",1975
hallyyew-hally-rejepowic,Hally Rejepowiç Hallyýew,Daşoguz welaýaty,Nowruz,http://mejlis2.bushluk.com/site/assets/files/14514/46-hallyyew-hr.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/hallyyew-hally-rejepowic/,"",1959
jumanazarow-nurmyrat-ashyrowic,Nurmyrat Aşyrowiç Jumanazarow,Daşoguz welaýaty,Rowaçlyk,http://mejlis2.bushluk.com/site/assets/files/14515/47-jumanazarow-na.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/jumanazarow-nurmyrat-ashyrowic/,"",1976
garabayewa-bayramgul-gurbanmyradowna,Baýramgül Gurbanmyradowna Garabaýewa,Daşoguz welaýaty,Boldumsaz,http://mejlis2.bushluk.com/site/assets/files/14516/48-garabayewa-bg.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/garabayewa-bayramgul-gurbanmyradowna/,"",1976
tuwakow-merdan-bayramdurdyyewic,Merdan Baýramdurdyýewiç Tuwakow,Daşoguz welaýaty,Görogly,http://mejlis2.bushluk.com/site/assets/files/14517/49--tuwakow.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/tuwakow-merdan-bayramdurdyyewic/,"",1971
hudaynazarowa-jemal-seyitjanowna,Jemal Seýitjanowna Hudaýnazarowa,Daşoguz welaýaty,Yzmykşir,http://mejlis2.bushluk.com/site/assets/files/14518/50-hudaynazarowa-js.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/hudaynazarowa-jemal-seyitjanowna/,"",1974
seyilow-bayly-toylyyewic,Baýly Toýlyýewiç Seýilow,Daşoguz welaýaty,Aksaraý,http://mejlis2.bushluk.com/site/assets/files/14519/51--seyilow.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/seyilow-bayly-toylyyewic/,"",1959
owezgeldiyew-serdar-cowdyrowic,Serdar Çowdyrowiç Öwezgeldiýew,Daşoguz welaýaty,Gubadag,http://mejlis2.bushluk.com/site/assets/files/14520/52-owezgeldiyew-sc.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/owezgeldiyew-serdar-cowdyrowic/,"",1977
rejepdurdyyewa-abadan-amanmyradowna,Abadan Amanmyradowna Rejepdurdyýewa,Daşoguz welaýaty,Baýdak,http://mejlis2.bushluk.com/site/assets/files/14521/53-rejepdurdyyewa-aa.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/rejepdurdyyewa-abadan-amanmyradowna/,"",1980
gurbandurdyyew-shatlyk-meretdurdyyewic,Şatlyk Meretdurdyýewiç Gurbandurdyýew,Daşoguz welaýaty,Gurbansoltan eje,http://mejlis2.bushluk.com/site/assets/files/14522/54-gurbandurdyyew-sm.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/gurbandurdyyew-shatlyk-meretdurdyyewic/,Türkmenistanyň Demokratik partiýasy,1981
gurbanowa-guljemal-bayyshowna,Güljemal Baýyşowna Gurbanowa,Daşoguz welaýaty,Täzezaman,http://mejlis2.bushluk.com/site/assets/files/14523/55-gurbanowa-gb.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/gurbanowa-guljemal-bayyshowna/,Türkmenistanyň senagatçylar we telekeçiler partiýasy,1969
amangeldiyew-altybay,Altybaý Amangeldiýew,Daşoguz welaýaty,Agzybirlik,http://mejlis2.bushluk.com/site/assets/files/14524/56-amangeldiyew-a.150x0.jpg,5,http://mejlis2.bushluk.com/tm/parliamentaries/convocations/current/members-list/amangeldiyew-altybay/,"",1972
