id,name,image,birth_date,area,faction,term,homepage,identifier__kuvendi
20153,Antoneta DHIMA,http://www.parlament.al/web/pub/dhima_22477_0.jpg,1970-12-05,"",PS,8,http://www.parlament.al/web/DHIMA_Antoneta_20153_1.php,20153
10813,Mesila Doda,http://www.parlament.al/web/pub/doda_m_8034_0.jpg,1971-02-16,Fier,PD,8,http://www.parlament.al/web/DODA_Mesila_10813_1.php,10813
20744,Asllan Dogjani,"",1967-11-15,Tiranë,PD,8,http://www.parlament.al/web/DOGJANI_Asllan_20744_1.php,20744
10691,Namik Dokle,http://www.parlament.al/web/pub/namik_dokle_8808_0.jpg,1946-03-11,Durrës,PS,8,http://www.parlament.al/web/DOKLE_Namik_10691_1.php,10691
10741,Tom Doshi,http://www.parlament.al/web/pub/doshi_t_94_0.jpg,1966-06-06,Shkodër,"",8,http://www.parlament.al/web/DOSHI_Tom_10741_1.php,10741
15834,Agron DUKA,http://www.parlament.al/web/pub/Person_m_38_0.gif,1958-01-22,"",PR,8,http://www.parlament.al/web/DUKA_Agron_15834_1.php,15834
10749,Vangjel Dule,http://www.parlament.al/web/pub/vangjel_dule_14927_0.jpg,1968-02-18,Vlorë,"",8,http://www.parlament.al/web/DULE_Vangjel_10749_1.php,10749
16234,Luan DUZHA,http://www.parlament.al/web/pub/luan_duzha_15028_0.jpg,1966-11-25,"",LSI,8,http://www.parlament.al/web/DUZHA_Luan_16234_1.php,16234
15836,Liljana ELMAZI,http://www.parlament.al/web/pub/liljana_elmazi_14024_0.jpg,1966-12-29,"",PD,8,http://www.parlament.al/web/ELMAZI_Liljana_15836_1.php,15836
10767,Bashkim Fino,http://www.parlament.al/web/pub/fino_b_96_0.jpg,1962-10-12,Korçë,PS,8,http://www.parlament.al/web/FINO_Bashkim_10767_1.php,10767
11188,Artan Gaçi,http://www.parlament.al/web/pub/artan_gaci_14913_0.jpg,1969-05-14,"",PS,8,http://www.parlament.al/web/GACI_Artan_11188_1.php,11188
16339,Mimoza HAFIZI,http://www.parlament.al/show_image.php?file_id=15242,1962-02-20,"",PS,8,http://www.parlament.al/web/HAFIZI_Mimoza_16339_1.php,16339
20186,Mimoza HAJDARMATAJ,"",1969-01-09,Kukës,PD,8,http://www.parlament.al/web/HAJDARMATAJ_Mimoza_20186_1.php,20186
20322,Arbjola HALIMI,"","",Elbasan,PD,8,http://www.parlament.al/web/HALIMI_Arbjola_20322_1.php,20322
10761,Eduard Halimi,http://www.parlament.al/web/pub/halimi_e_8049_0.jpg,1972-12-08,Durrës,PD,8,http://www.parlament.al/web/HALIMI_Eduard_10761_1.php,10761
10722,Bedri Hoxha,http://www.parlament.al/web/pub/hoxha_b_8052_0.jpg,1968-04-07,Dibër,PD,8,http://www.parlament.al/web/Hoxha_Bedri_10722_1.php,10722
11180,Vasilika Hysi,http://www.parlament.al/show_image.php?file_id=14928,1963-01-13,Tiranë,PS,8,http://www.parlament.al/web/HYSI_Vasilika_11180_1.php,11180
10747,Shpetim Idrizi,http://www.parlament.al/web/pub/idrizi_sh_109_0.jpg,1967-07-07,Vlorë,"",8,http://www.parlament.al/web/IDRIZI_Shpetim_10747_1.php,10747
10721,Arben Imami,http://www.parlament.al/web/pub/imami_a_8054_0.jpg,1958-01-21,Elbasan,PD,8,http://www.parlament.al/web/IMAMI_Arben_10721_1.php,10721
10694,Kastriot Islami,http://www.parlament.al/web/pub/islami_k_111_0.jpg,1952-08-18,Tiranë,"",8,http://www.parlament.al/web/ISLAMI_Kastriot_10694_1.php,10694
11204,Gjovalin Kadeli,http://www.parlament.al/web/pub/gjovalin_kadeli_15679_0.jpg,1964-12-26,Lezhë.,"",8,http://www.parlament.al/web/KADELI_Gjovalin_11204_1.php,11204
17051,Dashamir KAMBERI,http://www.parlament.al/show_image.php?file_id=19157,1951-09-27,Gjirokastër,PS,8,http://www.parlament.al/web/KAMBERI_Dashamir_17051_1.php,17051
15752,Piro KAPURANI,http://www.parlament.al/show_image.php?file_id=14143,1967-04-24,"",LSI,8,http://www.parlament.al/web/KAPURANI_Piro_15752_1.php,15752
15751,Roland KETA,http://www.parlament.al/web/pub/Person_m_38_0.gif,1971-04-07,"",PD,8,http://www.parlament.al/web/KETA_Roland_15751_1.php,15751
